actor,avg_movie_rating,avg_votes_per_movie,total_movies,rating_std_dev,high_rated_movie_count,career_span,recent_avg_rating,is_rating_std_dev_missing,is_recent_avg_rating_missing
nm0154885,6.6333333651224775,21.666666666666668,4,0.4618803254725253,0,33,6.099999904632568,0,0
nm7214455,5.6499998569488525,31.0,3,2.19203095424334,0,2,7.199999809265137,0,0
nm9952570,6.233333269755046,4059.6666666666665,5,0.4725816500723749,0,7,6.049999952316284,0,0
nm10556418,7.699999809265137,18.0,4,0.9384930852792726,0,8,7.699999809265137,1,0
nm3130060,5.9142857279096335,8745.142857142857,14,0.4943638361664767,0,15,5.720000076293945,0,0
nm0956881,6.246666653951009,626.0,17,0.785463232655048,0,43,5.933333237965901,0,0
nm1400318,3.324999988079071,117.75,4,2.38379956105718,0,2,3.324999988079071,0,0
nm11307733,3.271428636142186,26.428571428571427,26,1.624514650063231,0,12,4.0,0,0
nm1589811,6.666666507720947,14417.333333333334,3,0.9504385421177632,0,9,7.599999904632568,0,0
nm0048076,6.041666587193807,897.6666666666666,25,1.138999075837852,1,24,5.939999914169311,0,0
nm5856573,5.739999961853028,459.4,5,1.2561847848238998,0,5,5.824999928474426,0,0
nm0000376,5.294736874730964,37097.0,21,1.2099007160645414,0,47,6.0,0,0
nm1260113,5.842857224600656,224.0,9,0.7634508694410195,0,15,6.020000171661377,0,0
nm4490893,5.12857140813555,212.57142857142856,9,1.5239360686391374,0,12,4.2499998807907104,0,0
nm5366148,6.8111111587948265,712.8888888888889,9,2.049051276799348,4,12,7.085714374269758,0,0
nm0005069,6.599999904632568,61457.0,3,1.3228756555322954,0,24,7.599999904632568,0,0
nm4173550,6.433333396911621,1215.3333333333333,4,1.724335690905587,1,12,8.300000190734863,0,0
nm5590983,5.57999997138977,3834.2,6,1.4923136874064538,0,10,5.57999997138977,0,0
nm13464075,7.066666920979817,101.66666666666669,3,0.9291574303776716,1,2,7.066666920979817,0,0
nm6512498,7.577777915530735,165.77777777777777,15,1.9207927025851044,5,25,7.425000131130218,0,0
nm10261745,6.766666730244954,176.0,3,1.5011106448326148,1,6,8.5,0,0
nm2002983,5.840000057220459,1300.8,6,0.3714835239725907,0,22,5.900000095367432,0,0
nm5092643,5.636363658038053,73.45454545454545,15,0.990224973724604,0,14,5.844444486829969,0,0
