tconst,director_id,target_rating,director_experience,director_quality,director_total_votes
tt0062336,nm0749914,6.4,2,6.700000047683716,379
tt0062336,nm0765384,6.4,2,6.700000047683716,379
tt0070596,nm0749914,7.0,2,6.700000047683716,379
tt0070596,nm0765384,7.0,2,6.700000047683716,379
tt0093119,nm0007013,2.7,1,2.700000047683716,1842
tt0097767,nm0560510,7.0,1,7.0,6
tt0104988,nm0462899,7.8,2,7.5,21
tt0120589,nm0004000,7.2,1,7.199999809265137,513
tt0155174,nm0040898,7.5,1,7.5,167
tt0164115,nm0079782,6.2,1,6.199999809265137,51
tt0191010,nm0842379,5.2,1,5.199999809265137,159
tt0202523,nm1126758,8.9,1,8.899999618530273,11
tt0211266,nm0430867,8.3,1,8.300000190734863,14
tt0251151,nm0665374,8.4,1,8.399999618530273,187
tt0260293,nm0596261,6.8,1,6.800000190734863,109
tt0267968,nm0275789,7.4,1,7.400000095367432,31
tt0287075,nm0306126,5.5,2,6.400000095367432,180
tt0293429,nm2585406,6.1,1,6.099999904632568,196759
tt0327785,nm0675102,5.8,2,5.950000047683716,112330
tt0346172,nm0708001,2.8,1,2.799999952316284,196
tt0361130,nm0067384,5.4,1,5.400000095367432,8
tt0368133,nm0698464,6.6,1,6.599999904632568,8
tt0438755,nm1840881,8.2,1,8.199999809265137,47
tt0438755,nm1205845,8.2,1,8.199999809265137,47
tt0439572,nm0615592,6.6,1,6.599999904632568,232286
tt0446792,nm3584411,7.4,1,7.400000095367432,32
tt0451272,nm1235298,7.1,1,7.099999904632568,56
tt0453528,nm1430400,8.4,1,8.399999618530273,7
tt0473100,nm0656065,3.8,1,3.799999952316284,138
tt0499097,nm1356588,5.8,2,6.200000047683716,70727
tt0762118,nm0884452,4.1,1,4.099999904632568,32
tt0781524,nm4835724,5.5,1,5.5,42
tt0805647,nm0000709,5.4,3,5.600000063578288,114549
tt0870154,nm1429471,6.6,4,6.099999904632568,685926
tt0875612,nm0566041,7.3,1,7.300000190734863,12
tt0887261,nm1410159,5.9,3,5.9666666984558105,135040
tt0899043,nm0369949,6.7,2,7.099999904632568,51164
tt0902292,nm2245642,7.0,1,7.0,135
tt0920462,nm1802274,4.7,1,4.699999809265137,5890
tt0979902,nm2581582,7.7,1,7.699999809265137,201
tt0983946,nm0905592,4.9,3,5.066666603088379,92103
tt0993840,nm0811583,5.8,4,6.150000095367432,845392
tt0995854,nm0000243,6.0,1,6.0,3135
tt10003008,nm2002649,5.7,2,5.699999809265137,50392
tt10003618,nm4234652,6.8,1,6.800000190734863,493
tt10003994,nm2474072,6.9,1,6.900000095367432,315
tt10004032,nm1454596,2.7,1,2.700000047683716,220
tt10004032,nm1189743,2.7,1,2.700000047683716,220
tt10004108,nm5084422,4.7,1,4.699999809265137,2943
tt10004108,nm2071123,4.7,1,4.699999809265137,2943
tt10004368,nm3987270,7.0,2,6.900000095367432,6227
tt10005250,nm10376480,8.5,1,8.5,12
tt10005622,nm0448831,3.7,5,4.7399999618530275,993
tt10006160,nm5292549,4.8,1,4.800000190734863,423
tt10009608,nm3270894,6.3,1,6.300000190734863,114
tt10009608,nm3615875,6.3,1,6.300000190734863,114
tt10010852,nm4019593,7.6,1,7.599999904632568,8
tt10011002,nm4646219,5.5,1,5.5,190
tt10011228,nm1749112,5.3,2,5.650000095367432,2879
tt10011240,nm2808962,8.9,1,8.899999618530273,14
tt10012930,nm4818970,8.2,1,8.199999809265137,7
tt10013512,nm1496020,5.8,2,5.700000047683716,1615
tt10013588,nm10544333,6.0,1,6.0,36
tt10014534,nm2863372,6.7,1,6.699999809265137,307
tt1001520,nm0004217,6.1,2,6.0,74742
tt10015244,nm6136445,4.0,5,5.2000000953674315,13034
tt10015802,nm2570760,9.4,7,8.414285591670446,133
tt10016152,nm0195848,8.4,1,8.399999618530273,47
tt10016152,nm1414128,8.4,1,8.399999618530273,47
tt10016180,nm0359387,6.3,2,6.150000095367432,176037
tt10016640,nm9956126,7.4,1,7.400000095367432,47
tt10019108,nm0832393,5.8,1,5.800000190734863,411
tt10021582,nm2106459,2.6,1,2.5999999046325684,310
tt10022716,nm4390250,5.9,1,5.900000095367432,1270
tt10022726,nm10050155,6.0,20,7.185000038146972,994
tt10022782,nm0051104,6.2,1,6.199999809265137,64
tt10022782,nm0004787,6.2,1,6.199999809265137,64
tt10022782,nm3260333,6.2,1,6.199999809265137,64
tt10022990,nm8490655,5.4,1,5.400000095367432,406
tt10022990,nm11262032,5.4,2,5.8500001430511475,452
tt10023022,nm2099491,5.6,2,6.299999952316284,13605
tt10023024,nm1665004,4.7,3,6.666666666666667,27313
tt10023150,nm0468007,5.3,1,5.300000190734863,714
tt10023172,nm0033384,5.4,1,5.400000095367432,1318
tt10023266,nm7053856,7.4,1,7.400000095367432,104
tt10023274,nm0431044,7.7,1,7.699999809265137,37
tt10023274,nm0431049,7.7,1,7.699999809265137,37
tt10023286,nm3046538,6.1,1,6.099999904632568,11469
tt10026772,nm2901897,9.0,1,9.0,15
tt10026772,nm0411523,9.0,2,8.900000095367432,22
tt10027720,nm5206176,5.0,1,5.0,62
tt10028196,nm2378914,5.6,2,5.450000047683716,181403
tt10028812,nm7388685,6.8,3,6.033333460489909,444
tt10030150,nm1778060,4.9,3,5.333333333333333,86
tt10030150,nm2061884,4.9,3,4.8666666348775225,255
tt10030150,nm5034304,4.9,2,5.0,79
tt10032266,nm4494278,6.7,1,6.699999809265137,761
tt10032342,nm0176496,7.7,3,6.5,3199
tt10032574,nm6724631,6.4,1,6.400000095367432,889
tt10033964,nm3803666,4.4,2,3.450000047683716,134
tt10035194,nm5025409,5.4,1,5.400000095367432,274
tt10037014,nm2500541,5.9,6,5.016666650772095,62901
tt10037498,nm6743460,6.8,1,6.800000190734863,316
tt10037934,nm10555504,5.3,1,5.300000190734863,262
tt10038660,nm10555253,6.4,2,7.1000001430511475,114
tt10038830,nm10555425,7.9,1,7.900000095367432,58
tt10039338,nm10555656,5.6,1,5.599999904632568,155
tt10039354,nm0303973,5.3,2,5.3500001430511475,845
tt10039364,nm2832759,5.7,5,5.780000019073486,987
tt10039364,nm0864592,5.7,1,5.699999809265137,120
tt10039524,nm1884759,5.3,1,5.300000190734863,907
tt10039642,nm8352149,7.1,1,7.099999904632568,504
tt10039642,nm2290618,7.1,2,6.849999904632568,4719
tt10039642,nm2514471,7.1,1,7.099999904632568,504
tt10040978,nm0890060,3.2,13,4.930769223433274,8237
tt10041978,nm10556416,7.7,1,7.699999809265137,18
tt10042482,nm3774618,5.3,1,5.300000190734863,309
tt10042482,nm4738310,5.3,1,5.300000190734863,309
tt10042590,nm2149627,5.9,1,5.900000095367432,1061
tt10042622,nm0750527,4.5,1,4.5,131
tt10042788,nm1923551,5.3,1,5.300000190734863,477
tt10042868,nm6816931,8.8,1,8.800000190734863,143
tt10043458,nm0703544,7.8,2,6.25,177
tt10043660,nm3815061,3.9,1,3.9000000953674316,1114
tt10043770,nm8820234,7.7,1,7.699999809265137,124
tt10044040,nm0791140,4.7,1,4.699999809265137,234
tt10044182,nm3184434,5.3,6,5.266666611035665,1867
tt10044632,nm3925765,7.8,8,5.612500011920929,436
tt10044946,nm4341096,6.3,3,6.5333333015441895,541
tt10045002,nm10531566,8.0,1,8.0,589
tt10047464,nm3185193,4.9,3,4.566666762034099,486
tt10047904,nm1195601,6.7,1,6.699999809265137,1111
tt10047958,nm2203853,3.5,1,3.5,4738
tt10049262,nm1431194,4.8,3,5.9666666984558105,962
tt10051000,nm3742110,4.5,1,4.5,40
tt10051088,nm1112548,6.9,1,6.900000095367432,519
tt10054316,nm1098377,4.4,2,4.150000095367432,7867
tt10054604,nm6425087,3.3,16,4.387500002980232,403
tt10054778,nm2641508,6.9,3,6.9666666984558105,239
tt10054876,nm10561853,6.6,3,7.1333333651224775,3103
tt10054946,nm3468427,8.8,2,8.550000190734863,2431
tt10054946,nm2436790,8.8,2,8.550000190734863,2431
tt10055058,nm8971951,6.2,1,6.199999809265137,29
tt10055546,nm1730629,5.3,1,5.300000190734863,1579
tt10056224,nm0001953,5.2,1,5.199999809265137,686
tt10056488,nm2278676,7.8,1,7.800000190734863,16
tt10058864,nm8392831,4.1,1,4.099999904632568,15
tt10058890,nm0096539,5.9,3,5.600000063578288,515
tt10059252,nm4597102,7.2,1,7.199999809265137,37
tt10059254,nm3885159,7.6,4,7.575000166893005,70
tt10059254,nm0754653,7.6,3,7.666666825612386,50
tt10059508,nm3051578,9.0,1,9.0,9
tt10059518,nm0097517,6.0,1,6.0,83415
tt10060772,nm0701269,8.5,1,8.5,79
tt10061452,nm0951991,6.2,2,5.8999998569488525,35
tt10061464,nm10562627,3.3,1,3.299999952316284,91
tt10062338,nm0352968,5.3,2,5.6000001430511475,1789
tt10062556,nm10564978,4.1,1,4.099999904632568,25110
tt10062614,nm1398739,5.4,1,5.400000095367432,4874
tt10062628,nm4462060,6.1,2,5.549999952316284,302
tt10062634,nm9776172,5.6,1,5.599999904632568,345
tt10063580,nm3705090,5.9,5,5.2600000381469725,1335
tt10063934,nm2212798,5.2,3,4.266666650772095,62
tt10064134,nm1065111,4.2,1,4.199999809265137,69
tt10065694,nm4680113,5.8,1,5.800000190734863,30977
tt10065694,nm7896794,5.8,1,5.800000190734863,30977
tt10065936,nm2538949,8.7,1,8.699999809265137,32
tt10066262,nm1811978,7.4,1,7.400000095367432,19
tt10066432,nm5262488,4.3,1,4.300000190734863,576
tt10066750,nm3709548,5.4,2,4.150000095367432,181
tt10066750,nm7473882,5.4,1,5.400000095367432,17
tt10066808,nm3438179,7.3,1,7.300000190734863,37
tt10068716,nm9744450,7.1,1,7.099999904632568,48
tt10068916,nm0463628,8.0,1,8.0,6470
tt10069166,nm10274640,3.9,1,3.9000000953674316,1685
tt10071550,nm5731750,1.5,1,1.5,379
tt10071594,nm10568981,7.5,1,7.5,130
tt10071606,nm10568992,7.3,1,7.300000190734863,108
tt10072662,nm0144812,5.6,1,5.599999904632568,891
tt10073452,nm3813028,7.0,1,7.0,524
tt10073452,nm3788723,7.0,1,7.0,524
tt10073640,nm10569971,8.3,1,8.300000190734863,13
tt10073640,nm10569972,8.3,1,8.300000190734863,13
tt10075380,nm5694753,6.2,3,5.666666507720947,679
tt10075380,nm5694564,6.2,5,6.080000019073486,875
tt10075442,nm7398558,6.8,1,6.800000190734863,232
tt10075650,nm9816747,4.8,1,4.800000190734863,252
tt10077034,nm1966532,4.2,3,4.633333206176758,10446
tt10077090,nm10560071,5.4,1,5.400000095367432,11
tt10077544,nm0093081,6.4,3,6.8666666348775225,7090
tt10078206,nm4341114,1.4,58,3.262068972505372,4984
tt10078206,nm8099914,1.4,4,3.250000089406967,340
tt10078206,nm3153264,1.4,1,1.399999976158142,25
tt10078772,nm0000154,5.2,1,5.199999809265137,24919
tt10078886,nm4269006,5.6,1,5.599999904632568,143
tt10078904,nm4341114,1.4,58,3.262068972505372,4984
tt10079028,nm4341114,2.9,58,3.262068972505372,4984
tt10079448,nm5323837,7.5,1,7.5,32
tt10079652,nm0335835,4.0,1,4.0,316
tt10080086,nm0508441,4.5,1,4.5,74
tt10080092,nm9619798,4.7,3,5.566666603088379,375
tt10080110,nm1615332,3.6,1,3.5999999046325684,369
tt10080130,nm7148363,4.4,2,3.850000023841858,999
tt10080198,nm7383367,8.5,1,8.5,7
tt10080926,nm10568164,8.4,1,8.399999618530273,9
tt10081762,nm1893652,6.1,2,5.3999998569488525,8710
tt10081788,nm3803118,5.1,1,5.099999904632568,28
tt10083174,nm2134362,4.3,1,4.300000190734863,5390
tt10083340,nm0080220,7.8,1,7.800000190734863,64133
tt10083640,nm4415009,6.7,2,6.25,53240
tt10087728,nm4015380,4.8,1,4.800000190734863,289
tt10087728,nm13017169,4.8,1,4.800000190734863,289
tt10088984,nm0141127,6.9,1,6.900000095367432,2650
tt10090058,nm2538739,5.3,14,6.664285693849836,5207
tt10090058,nm14051140,5.3,1,5.300000190734863,926
tt10091272,nm3225840,1.8,1,1.7999999523162842,42
tt10091272,nm13252949,1.8,6,2.8166667222976685,933
tt10091630,nm3932134,5.3,1,5.300000190734863,31
tt10092170,nm3019034,6.1,1,6.099999904632568,895
tt10092362,nm7500996,8.8,1,8.800000190734863,7
tt10092698,nm2202596,4.3,1,4.300000190734863,3825
tt10092698,nm2753152,4.3,1,4.300000190734863,3825
tt10092752,nm2182866,5.2,3,4.8666666348775225,16121
tt10093594,nm0349484,6.8,4,4.999999940395355,826
tt10094388,nm0868650,4.7,1,4.699999809265137,706
tt10095262,nm8900560,7.5,1,7.5,13
tt10095308,nm4822033,6.2,1,6.199999809265137,711
tt10095328,nm0201504,7.6,1,7.599999904632568,17
tt10095582,nm0001054,7.1,1,7.099999904632568,42129
tt10096114,nm8976437,8.4,1,8.399999618530273,30
tt10096236,nm1906390,9.4,1,9.399999618530273,8
tt10096842,nm0497563,4.6,1,4.599999904632568,7883
tt10097312,nm3641208,5.8,2,6.6000001430511475,264
tt10097346,nm7972509,6.5,1,6.5,15
tt10097362,nm1109126,3.9,2,4.950000047683716,532
tt10097384,nm1970591,5.4,3,6.1333333651224775,1457
tt10097442,nm0796102,7.1,2,6.099999904632568,76
tt10097470,nm0576606,8.6,1,8.600000381469727,39
tt10097484,nm2744255,5.1,1,5.099999904632568,578
tt10097958,nm1664102,5.2,1,5.199999809265137,142
tt10098042,nm8289467,5.5,1,5.5,20
tt10098048,nm0834088,8.1,1,8.100000381469727,18
tt10098048,nm13780924,8.1,1,8.100000381469727,18
tt10098288,nm3155648,4.3,1,4.300000190734863,11306
tt10098288,nm14255092,4.3,2,5.1000001430511475,12911
tt10098442,nm10073192,6.1,1,6.099999904632568,69
tt10098448,nm2296528,7.1,4,7.0,56882
tt10098448,nm3634546,7.1,1,7.099999904632568,15635
tt10098452,nm1616394,6.5,1,6.5,763
tt10100196,nm1658166,6.0,1,6.0,38
tt10100678,nm1778801,5.9,1,5.900000095367432,68
tt10100678,nm5282122,5.9,2,5.450000047683716,1056
tt10101246,nm5642554,7.1,1,7.099999904632568,459
tt10101702,nm2366527,6.8,1,6.800000190734863,4826
