tconst,primaryTitle,startYear,averageRating,numVotes,genre_score,movie_writer_quality,movie_actor_score,budget_imputed,director_quality
tt20235592,Six: The Fully Animated Musical,2020,6.8,16,6.246229143988683,7.700000286102295,8.912113350831817,45110614.14841664,6.920000171661377
tt20236042,Dormitory,2023,6.8,892,6.222950643159742,6.800000190734863,7.05851604051225,22449168.97011252,6.800000190734863
tt20236622,The Deb,2024,7.5,72,6.023743117917954,7.416666666666667,7.896714646626239,22203336.37847586,7.5
tt20237152,Exposure,2023,6.1,76,5.606572668611012,5.0,6.453462481244748,28614196.00792752,6.099999904632568
tt20237930,Could You Don't Leave Me,2022,3.1,20,6.15363591029188,3.0999999046325684,5.007568279484313,21709165.710378148,4.1249998807907104
tt20238148,Haunted Tales,2021,5.0,49,4.975293835433215,5.0,7.197814374936866,16298415.350626118,4.599999904632568
tt20238162,A Star Has Fallen,2022,7.8,10,5.606572668611012,7.800000190734863,5.0,28614196.00792752,7.800000190734863
tt20238316,Three Widows Against the World,2022,6.6,198,5.862809136221746,6.012499928474426,7.462578142162957,35436476.59166272,6.599999904632568
tt20238530,FOMO,2022,3.0,170,5.352106095546972,3.0,5.0,34573268.12704917,3.0
tt20238756,Chyornaya gora,2022,3.6,39,4.975293835433215,3.5999999046325684,6.255586571275606,16298415.350626118,3.5999999046325684
tt20240424,Frankie Meets Jack,2023,5.4,294,5.985107708534049,5.32222228580051,6.055875564089994,24629269.511692487,5.2200000286102295
tt20240826,Frankenstein: Legacy,2024,3.7,202,5.914761655885377,3.700000047683716,4.843278098244474,25531682.48902002,3.700000047683716
tt20240910,Time Spent with Cats Is Never Wasted,2021,8.8,7,6.222950643159742,8.800000190734863,5.0,22449168.97011252,8.800000190734863
tt20240950,Enchantress,2022,4.0,18,5.466973934449058,4.0,5.42270408102397,23055563.788039837,4.0
tt20242102,Bright Sky,2025,5.0,81,6.15363591029188,4.849999904632568,6.165516787211261,21709165.710378148,6.333333333333333
tt20242184,Serr-i Cin,2022,3.0,69,4.975293835433215,3.133333365122477,3.273293920926509,16298415.350626118,3.125
tt20242416,Maamannan,2023,6.7,6054,5.852813889143827,7.849999904632568,7.634806679057498,34637161.96050409,7.466666539510091
tt20243976,No Turning Back,2022,9.2,21,6.098282728260086,9.199999809265137,11.559937969985995,23810550.63444363,9.199999809265137
tt20244226,Ke Thu Ba,2022,6.2,6,6.15363591029188,5.0,6.892077484329737,21709165.710378148,6.199999809265137
tt20244248,Deep in It,2022,2.2,205,5.76970194587739,3.5,3.5428696114227862,35544749.73672483,4.149999976158142
tt20244314,Grinding Humanity,2022,8.2,11,6.222950643159742,5.0,5.0,22449168.97011252,8.199999809265137
tt20244398,Haemolymph,2022,8.8,196,6.222950643159742,5.0,9.822949565051877,22449168.97011252,8.800000190734863
tt20244460,Battle of Combat,2021,8.2,8,6.366676753848642,8.199999809265137,5.0,20653775.73770492,8.199999809265137
tt20244712,The True Christian History of America,2020,7.2,14,7.213336372265705,7.199999809265137,8.278442771265771,4388240.25,7.199999809265137
tt20244880,Mr. Ex,2023,5.0,731,5.807406297652405,5.066666682561238,5.681493438468012,40568748.73810671,4.599999904632568
tt20244978,Moondram Athigharam,2022,8.9,37,5.728918355660729,5.0,9.48819242697695,52848120.90347222,8.899999618530273
tt20244998,Bhirkit,2022,8.1,101,5.885894239644082,7.983333587646484,8.899910571491162,28289376.5727412,7.400000095367432
tt20246504,A Hollow Tree,2023,7.7,96,5.606572668611012,7.699999809265137,7.150898361086723,28614196.00792752,7.699999809265137
tt20247078,Life in Outer Space,2022,6.6,166,7.213336372265705,7.25,5.0,4388240.25,7.019999980926514
tt20247118,Erik Stoneheart,2022,6.0,175,6.0196453027547605,6.375,6.849549079252704,55536594.02579968,5.825000047683716
tt20247162,Pastacolypse,2023,5.3,139,5.731228212544113,5.75,6.337717091247431,36533567.45369658,6.066666762034099
tt20247284,Millennial Hunter,2023,6.0,129,5.982436385953284,6.0,6.8941986621360645,48716802.63797861,6.066666762034099
tt20247306,Big Bruh,2023,6.9,41,6.109195401099562,6.900000095367432,7.511663659421617,46651143.50523181,6.066666762034099
tt20247408,"Arcadia, Champagne D'Orient",2022,5.2,5,6.936415740527709,5.199999809265137,5.943012705381469,23846722.933333334,5.199999809265137
tt20247796,Antikalpa,2023,4.2,93,4.975293835433215,4.199999809265137,6.116403015801689,16298415.350626118,4.199999809265137
tt20247888,Emmanuelle,2024,4.1,1679,6.15363591029188,5.34523808388483,6.15884658746255,21709165.710378148,5.75
tt20249182,Nine,2023,7.1,29,5.719018767110168,6.831249922513962,7.460132449076045,38674737.986233264,7.099999904632568
tt20249402,Wer gräbt den Bestatter ein?,2022,6.1,47,5.885894239644082,6.099999904632568,7.083393781839747,28289376.5727412,6.099999904632568
tt20249418,Romancham,2023,7.5,9092,5.430594037538649,6.833333333333333,7.635460004874022,22293895.961683657,7.650000095367432
tt20249446,La cour des miracles,2022,5.9,168,5.885894239644082,6.253968299381317,6.993286891138595,28289376.5727412,5.900000095367432
tt20250342,The Circle,2020,3.1,10,4.975293835433215,3.0999999046325684,5.0,16298415.350626118,3.0999999046325684
tt20250732,"Step Back, Doors Closing",2024,9.0,41,6.064388686742614,9.0,9.522690003610808,23902569.33116583,9.0
tt20251160,Afa,2021,5.9,10,5.728918355660729,5.900000095367432,6.916835585824454,52848120.90347222,5.900000095367432
tt20251428,Mar Dare Maya Ma,2022,8.8,70,6.222950643159742,5.0,10.13673045344072,22449168.97011252,8.800000190734863
tt20251542,Marinette,2023,6.3,589,6.591212752060749,6.300000190734863,6.718241559150053,23451939.857645795,6.300000190734863
tt20251588,Shoshana,2023,6.3,768,5.914761655885377,6.300000190734863,6.770578508569829,25531682.48902002,6.866666793823242
tt20251692,Majnu,2022,7.3,9,6.222950643159742,7.480000066757202,8.553266395789839,22449168.97011252,7.480000066757202
tt20251716,Naadi Dosh,2022,7.2,1462,6.163504015611674,6.75,8.552359061535684,30429364.81939042,6.7999999761581424
tt20251822,A Man,2022,6.9,1826,6.042109039962235,6.712500035762787,7.081103525286238,22557470.47544072,6.0
tt20251826,15 Seconds A Lifetime,2022,9.8,7,7.213336372265705,5.0,5.0,4388240.25,9.800000190734863
tt20251830,Rüzgargülü,2022,5.3,26,6.183240226251263,4.350000143051148,5.880483613621982,47869763.03741497,4.350000143051148
tt20251896,Kahani Rubberband Ki,2022,5.3,1126,6.097361703018362,5.300000190734863,7.559189015224137,32869436.19342289,5.300000190734863
tt20251994,Klem,2023,6.3,585,5.790093740985721,6.300000190734863,6.741474836955492,26893064.153351128,6.300000190734863
tt20252388,Just before Dark,2020,3.6,13,6.222950643159742,5.0,4.513168337636051,22449168.97011252,5.560000038146972
tt20252438,Shaan,2022,6.0,518,5.76970194587739,6.25,6.757731813154011,35544749.73672483,6.5
tt20252472,Three Sisters of Tenmasou,2022,6.6,61,6.222950643159742,6.599999904632568,7.246003761663039,22449168.97011252,5.399999936421712
tt20252574,Menina Casilda,2023,4.9,32,5.885894239644082,4.900000095367432,6.033811792176133,28289376.5727412,4.900000095367432
tt20252884,Saideira,2024,5.4,42,6.054422441401912,5.550000111262004,6.8991385269555865,25369272.771426857,5.850000143051148
tt20253666,Hands of Hell,2023,2.9,143,4.975293835433215,2.900000095367432,4.116471263333731,16298415.350626118,2.900000095367432
tt20253810,Andy Warhol: A Life in Art,2022,6.4,17,6.977502457895607,6.233333303814843,5.0,18240777.16806298,6.3285713990529375
tt20254992,The Beldham,2024,6.7,41,4.975293835433215,5.5333333015441895,7.129509081613931,16298415.350626118,6.699999809265137
tt20255028,Uproar,2023,6.6,1505,6.222950643159742,6.599999904632568,6.732459780777859,22449168.97011252,6.599999904632568
tt20255354,The Present,2024,5.5,885,5.885894239644082,5.5,6.778291124739199,28289376.5727412,5.5
tt20255600,The Elp; A Creature of Legend,2022,5.3,14,5.675910416971167,5.550000190734863,5.612579263992678,36596326.86758383,5.550000190734863
tt20255712,Call Me Crazy,2022,8.9,17,6.064388686742614,8.899999618530273,5.0,23902569.33116583,8.899999618530273
tt20256412,Hard Feelings,2023,4.8,3161,5.885894239644082,4.800000190734863,5.794672545727373,28289376.5727412,4.733333428700765
tt20256448,Force of Nature: The Dry 2,2024,5.8,7162,5.799747593758131,6.250000158945719,6.945365120703788,26013402.77075604,6.025000095367432
tt20256588,El-Dawah Ammah,2022,5.2,243,5.885894239644082,5.080555438995361,5.893650296496967,28289376.5727412,5.199999809265137
tt20256652,Moishe,2022,9.5,7,6.222950643159742,9.5,8.082160223529629,22449168.97011252,9.5
tt20256876,Calling Nurse Meow,2022,4.4,32,5.885894239644082,4.541666706403096,5.202436253075914,28289376.5727412,4.798095271700904
tt20257184,Metamorphosis,2023,8.4,19,5.882859537024568,6.699999809265137,7.274687767880749,25105814.9945353,6.699999809265137
tt20257396,The Pool,2024,6.1,25,7.213336372265705,5.0,6.775692934667027,4388240.25,6.099999904632568
tt20257492,Lonesome Soldier,2023,6.0,2228,6.2553130174328215,6.516666730244954,6.417054837392451,24970029.303791124,5.400000095367432
tt20258046,Don't Blow My High,2022,7.7,12,5.885894239644082,7.699999809265137,7.456001471244747,28289376.5727412,7.699999809265137
tt20258070,Alien Predator War,2021,5.8,32,5.856050379258259,5.0,7.03389310051357,63203425.0141844,4.275000065565109
tt20258072,Baked with a Kiss,2022,6.3,314,6.084321177424017,6.600000063578288,6.649049851970683,20969162.450643778,5.6333333651224775
tt20258156,Solitary,2022,3.8,693,5.807406297652405,3.942857197352818,4.091236485640663,40568748.73810671,4.1200000762939455
tt20258220,Angels Fallen: Warriors of Peace,2024,4.9,5796,5.805477866842771,4.661111169391209,5.534540760633857,54928941.96073187,3.824999988079071
tt20258370,Trail Blazers,2022,4.5,29,5.856050379258259,4.425000041723251,5.292546782051164,63203425.0141844,4.5
tt20258916,Muqaam,2022,8.3,10,5.97361481336043,8.300000190734863,10.33878404376926,25171932.29877474,8.300000190734863
tt20258974,Life,2023,7.1,2829,6.222950643159742,7.099999904632568,7.519758403399116,22449168.97011252,7.099999904632568
tt20259046,Pareshan,2023,5.7,311,5.885894239644082,5.699999809265137,7.303868954547608,28289376.5727412,5.699999809265137
tt20259156,Piano Dreams,2022,6.8,20,6.986977654995064,7.183333396911621,5.0,10357346.640243905,7.183333396911621
tt20259704,Pravednik,2023,6.7,458,6.294813698504193,6.699999809265137,7.446255064378201,21551472.35390872,6.699999809265137
tt20277852,Faithful,2022,5.0,198,5.914761655885377,6.275000095367432,7.910983666201768,25531682.48902002,5.520000012715658
tt20293246,Ladies Choice,2022,6.2,28,5.606572668611012,5.887499988079071,6.79905635863629,28614196.00792752,6.233333322736952
tt20304118,Cries of Desire,2022,5.7,12,5.606572668611012,5.699999809265137,5.8735703054258295,28614196.00792752,5.699999809265137
tt20308842,We're Both Grooms,2022,7.3,98,5.985107708534049,5.0,7.85900443302765,24629269.511692487,7.300000190734863
tt20310970,Negatyw,2022,7.5,74,6.222950643159742,7.5,7.836017864270164,22449168.97011252,5.649999976158142
tt20315818,Ezra,2023,6.5,4850,6.054422441401912,6.5,7.508520532221761,25369272.771426857,6.5
tt20316748,Twilight of the Warriors: Walled In,2024,7.0,9661,5.76970194587739,6.683333343929714,7.097311972038158,35544749.73672483,6.450000047683716
tt20317026,Il coraggio di essere Franco,2022,7.0,28,7.074876056396708,7.0,6.973425646769117,14117481.591666669,7.0
tt20318230,Teacher Mechy,2023,6.9,18,5.885894239644082,7.255555629730225,8.409562007478813,28289376.5727412,7.328571455819266
tt20318356,Journey to the End of the Night,2023,4.2,123,5.322781711966471,3.233333269755045,4.207588517932429,57245524.024444446,3.4166665871938067
tt20319148,Queen of the Deuce,2022,6.9,257,7.074876056396708,6.900000095367432,5.0,14117481.591666669,6.900000095367432
tt20319376,Veer-Isha Nu Seemant,2022,5.6,123,6.203095434705503,6.3999998569488525,8.08281342265043,35159466.00376374,6.8999998569488525
tt20319478,Angel 111,2022,5.1,10,5.728918355660729,5.099999904632568,6.269503041088402,52848120.90347222,5.099999904632568
tt20319484,Akik a hazára voksoltak - Sopron 1921,2022,8.4,5,7.213336372265705,7.249999761581421,6.443855292726798,4388240.25,7.249999761581421
tt20319598,Lakadbaggha,2023,6.1,1845,5.862809136221746,6.099999904632568,6.935566693193074,35436476.59166272,5.849999904632568
tt20324566,Kandhidi Nodana,2022,9.0,116,5.606572668611012,5.0,7.49693518437656,28614196.00792752,9.0
tt20330434,The Crime Is Mine,2023,6.5,6322,5.892854784102487,6.620000086890326,6.965721322527008,25905129.62569393,6.660000133514404
tt20355484,The Final Race,2023,5.1,1997,5.932684273852025,5.516666597790188,5.552433256727272,43002420.17120946,5.099999904632568
tt20356178,The Troubles: A Dublin Story,2022,6.0,270,6.098282728260086,6.0,7.566985835971776,23810550.63444363,6.0
tt20357710,Mujer Perversa,2023,3.2,13,6.222950643159742,3.200000047683716,5.273788183392977,22449168.97011252,3.200000047683716
tt20358190,Oro Amargo,2024,7.5,31,6.044285527551576,7.088888963063558,7.882008501040129,18533034.03713959,7.5
tt20358284,The Lesson,2023,6.1,3488,5.606572668611012,6.099999904632568,7.177537540155647,28614196.00792752,6.099999904632568
tt20362202,Colleyville,2024,8.3,7,7.213336372265705,7.766666730244954,5.0,4388240.25,7.766666730244954
tt20365920,Guardians of the Formula,2023,8.1,4151,6.647373881526953,8.011111312442356,7.192011650148021,24261086.741433825,8.400000095367432
tt20366376,The Students of Umberto Primo,2022,8.1,11,6.782755260893406,8.100000381469727,5.0,26487368.320855614,8.100000381469727
tt20371480,Travesti Odyssey,2021,7.9,10,7.213336372265705,7.900000095367432,5.0,4388240.25,7.900000095367432
