actor_name,facebook_likes,actor_id
Darcy Donavan,640000.0,nm1261965
Matthew Ziff,260000.0,nm3556158
Krista Allen,164000.0,nm13523418
Andrew Fiscella,137000.0,nm0278767
Jimmy Bennett,87000.0,nm8963284
Michael Joiner,77000.0,nm8123743
Robin Williams,49000.0,nm5153220
Craig Stark,46000.0,nm0823149
Muse Watson,45000.0,nm0002901
Tim Holmes,44000.0,nm5148775
Johnny Depp,40000.0,nm0000136
Bella Thorne,35000.0,nm9963978
Jennifer Lawrence,34000.0,nm9599003
Sunil Narkar,34000.0,nm2357497
Ryan Gosling,33000.0,nm0331516
Chris Moss,33000.0,nm9208576
Jizelle Jade,33000.0,nm2719986
Marisa Saks,31000.0,nm3624302
Rachel Ann Mullins,31000.0,nm3334898
Mem Ferda,31000.0,nm1570873
Veronica Ferres,30000.0,nm0274704
Leonardo DiCaprio,29000.0,nm0000138
Tom Hardy,27000.0,nm9375397
Jason Statham,26000.0,nm0005458
Chris Hemsworth,26000.0,nm1165110
Jeremy Irvine,25000.0,nm14929963
Alan Rickman,25000.0,nm7529135
J.K. Simmons,24000.0,nm0799777
Paul Walker,23000.0,nm6124880
Joseph Gordon-Levitt,23000.0,nm0330687
Christian Bale,23000.0,nm0000288
Philip Seymour Hoffman,22000.0,nm0000450
Peter Dinklage,22000.0,nm0227759
Robert De Niro,22000.0,nm0000134
Vanna Bonta,21000.0,nm0095209
Robert Downey Jr.,21000.0,nm0000375
Lorraine Ziff,21000.0,nm3977675
Robert Pattinson,21000.0,nm1500155
Matt Bomer,20000.0,nm0093589
Derick Martini,20000.0,nm0553796
Natalie Portman,20000.0,nm0000204
Hugh Jackman,20000.0,nm17219985
Katherine McNamara,19000.0,nm4846068
Scarlett Johansson,19000.0,nm0424060
Benedict Cumberbatch,19000.0,nm1212722
Tom Selleck,19000.0,nm0000633
Robin Wright,18000.0,nm4849478
Zuhair Haddad,18000.0,nm0352674
Keanu Reeves,18000.0,nm0000206
Gerard Butler,18000.0,nm8424824
Denzel Washington,18000.0,nm15542621
Kevin Spacey,18000.0,nm0000228
Martin Scorsese,17000.0,nm0000217
Jim Parsons,17000.0,nm4906191
Channing Tatum,17000.0,nm1475594
Peter Capaldi,17000.0,nm14058953
Chloë Grace Moretz,17000.0,nm1631269
Kristen Stewart,17000.0,nm16618903
Ryan Reynolds,16000.0,nm5778206
Charlie Hunnam,16000.0,nm0402271
Christopher Lee,16000.0,nm9234470
Ian Somerhalder,16000.0,nm0813812
Bobbie Phillips,16000.0,nm14907760
Clint Eastwood,16000.0,nm0000142
Quentin Tarantino,16000.0,nm0000233
Jake Gyllenhaal,15000.0,nm0350453
Henry Cavill,15000.0,nm0147147
Emma Stone,15000.0,nm9615262
Tom Hanks,15000.0,nm0000158
Rex Baker,15000.0,nm13493993
Alex Pettyfer,15000.0,nm1641117
Jud Tylor,15000.0,nm0878954
Mila Kunis,15000.0,nm0005109
Bradley Cooper,14000.0,nm6100227
J.J. Abrams,14000.0,nm0009190
Liam Neeson,14000.0,nm0000553
Milla Jovovich,14000.0,nm0000170
Josh Hutcherson,14000.0,nm17212981
Kate Winslet,14000.0,nm0000701
Vin Diesel,14000.0,nm0004874
Colin Firth,14000.0,nm0000147
Al Pacino,14000.0,nm6950605
Matt Damon,13000.0,nm0000354
Bruce Willis,13000.0,nm12507900
Sylvester Stallone,13000.0,nm0000230
Eddie Redmayne,13000.0,nm1519666
Michael Fassbender,13000.0,nm1055413
Heath Ledger,13000.0,nm0005132
Gabriel Millman,13000.0,nm0589804
Bill Murray,13000.0,nm5629957
Norman Reedus,12000.0,nm15658879
Jeff Bridges,12000.0,nm6732198
Nicolas Cage,12000.0,nm0000115
Taylor Lautner,12000.0,nm14608769
Leonard Nimoy,12000.0,nm0000559
Anthony Hopkins,12000.0,nm6145332
Dwayne Johnson,12000.0,nm6058759
Steve Buscemi,12000.0,nm0000114
Woody Allen,11000.0,nm14402329
Sam Claflin,11000.0,nm3510471
Meryl Streep,11000.0,nm0000658
Harold Ramis,11000.0,nm15070900
Zooey Deschanel,11000.0,nm0221046
Harrison Ford,11000.0,nm9531247
James Franco,11000.0,nm13541036
