tconst,writer_id,writer_experience,writer_quality,target_rating
tt11891698,nm0369686,1,5.599999904632568,5.6
tt11891850,nm0005139,1,7.199999809265137,7.2
tt11892034,nm6319990,1,5.599999904632568,5.6
tt11892046,nm0843483,4,6.200000047683716,6.1
tt11892056,nm4586375,1,3.5999999046325684,3.6
tt11892272,nm0600409,1,6.900000095367432,6.9
tt11892302,nm3350939,1,5.699999809265137,5.7
tt11892482,nm1984148,1,6.599999904632568,6.6
tt11892916,nm11397262,3,6.266666730244954,5.0
tt11893170,nm9406188,1,7.199999809265137,7.2
tt11893212,nm7438818,3,5.100000063578288,3.9
tt11893274,nm2222778,1,7.400000095367432,7.4
tt11893676,nm1079798,1,5.300000190734863,5.3
tt11894184,nm7550386,1,6.800000190734863,6.8
tt11894294,nm2611428,1,6.699999809265137,6.7
tt11894498,nm0894787,5,6.1800000190734865,5.4
tt11895902,nm9448263,1,7.400000095367432,7.4
tt11896378,nm11393070,1,8.100000381469727,8.1
tt11896596,nm1761557,1,7.5,7.5
tt11896740,nm2389733,1,8.699999809265137,8.7
tt11897082,nm8111923,1,5.0,5.0
tt11897224,nm4349921,2,1.949999988079071,1.6
tt11897340,nm0009463,1,6.300000190734863,6.3
tt11897478,nm8986469,1,6.599999904632568,6.6
tt11898070,nm0807504,2,7.849999904632568,8.9
tt11898208,nm9844952,1,6.400000095367432,6.4
tt11898692,nm0287647,1,6.300000190734863,6.3
tt11898858,nm8271285,1,6.900000095367432,6.9
tt11898882,nm3222789,1,6.0,6.0
tt11898888,nm11394313,1,7.199999809265137,7.2
tt11898944,nm4787690,2,5.25,5.1
tt11898996,nm2333766,1,6.300000190734863,6.3
tt11899028,nm5088122,2,7.099999904632568,7.6
tt11899238,nm11394534,1,6.599999904632568,6.6
tt11899710,nm4352786,1,6.800000190734863,6.8
tt11899796,nm1994773,4,7.150000095367432,8.7
tt11899856,nm3252587,1,6.699999809265137,6.7
tt11900398,nm2935111,6,6.566666682561238,3.4
tt11900404,nm1109731,2,8.099999904632568,8.0
tt11900444,nm0838432,1,6.800000190734863,6.8
tt11900790,nm3700304,1,7.099999904632568,7.1
tt11902024,nm7176527,1,5.400000095367432,5.4
tt11902980,nm4589083,3,3.0666666825612388,2.7
tt11903004,nm5683926,3,6.433333237965901,6.2
tt11903280,nm2397199,1,7.300000190734863,7.3
tt11904798,nm2394912,1,7.800000190734863,7.8
tt11904878,nm2321069,1,4.5,4.5
tt11905316,nm11266635,1,6.599999904632568,6.6
tt11905352,nm0880134,3,6.766666730244954,6.1
tt11905394,nm1319671,2,4.75,5.2
tt11905466,nm11391513,1,7.0,7.0
tt11905470,nm7432235,1,8.399999618530273,8.4
tt11905514,nm1071389,1,7.099999904632568,7.1
tt11905536,nm5099464,4,6.5,6.5
tt11905538,nm11396470,1,7.900000095367432,7.9
tt11905612,nm5230308,1,7.5,7.5
tt11905696,nm0505660,1,6.599999904632568,6.6
tt11905698,nm1036127,1,5.099999904632568,5.1
tt11905730,nm1731479,1,6.0,6.0
tt11905748,nm2187153,1,6.400000095367432,6.4
tt11905810,nm15186502,1,9.100000381469727,9.1
tt11905848,nm0888079,2,6.5,6.0
tt11905922,nm6251799,2,6.950000047683716,6.9
tt11905938,nm6592592,2,7.200000047683716,6.6
tt11905944,nm5972236,1,5.400000095367432,5.4
tt11905960,nm0001317,1,3.5999999046325684,3.6
tt11905962,nm2454599,6,5.833333412806193,6.4
tt11905998,nm6548809,2,7.150000095367432,7.0
tt11906004,nm3758726,1,6.300000190734863,6.3
tt11906012,nm6959954,1,6.599999904632568,6.6
tt11906018,nm4322337,1,2.700000047683716,2.7
tt11906086,nm1805203,1,5.0,5.0
tt11906392,nm12880586,1,6.400000095367432,6.4
tt11906412,nm13666355,2,5.950000047683716,4.6
tt11906472,nm2598828,1,7.5,7.5
tt11906536,nm11396992,1,6.099999904632568,6.1
tt11906860,nm1258471,1,8.800000190734863,8.8
tt11907088,nm12002986,1,6.599999904632568,6.6
tt11907624,nm1267470,1,3.299999952316284,3.3
tt11907874,nm10234302,1,7.0,7.0
tt11908062,nm11397394,1,5.199999809265137,5.2
tt11908078,nm4927282,1,7.199999809265137,7.2
tt11908172,nm0414871,1,5.5,5.5
tt11908436,nm6250404,1,6.0,6.0
tt11908822,nm2183022,3,6.533333460489909,7.3
tt11908982,nm1705857,2,5.5,5.5
tt11909040,nm0644293,5,5.340000057220459,5.0
tt11909878,nm4671079,2,4.450000047683716,6.0
tt11910526,nm1685291,1,5.400000095367432,5.4
tt11910576,nm5528286,2,7.650000095367432,8.0
tt11911290,nm5393776,3,6.766666730244954,8.2
tt11911734,nm3417506,1,5.199999809265137,5.2
tt11911772,nm11399325,1,6.699999809265137,6.7
tt11912010,nm3285500,2,4.849999904632568,5.6
tt11912032,nm10299345,1,6.300000190734863,6.3
tt11912042,nm4465871,5,5.7600000381469725,4.2
tt11912156,nm11742013,1,7.900000095367432,7.9
tt11912390,nm15590689,1,6.599999904632568,6.6
tt11912472,nm7809891,2,4.650000095367432,3.9
tt11912510,nm1709235,1,5.900000095367432,5.9
tt11912616,nm1373326,3,5.399999936421712,6.0
tt11912692,nm5743579,2,6.0,6.3
tt11913348,nm1953143,11,3.490909077904441,2.9
tt11914450,nm2061884,2,3.700000047683716,2.5
tt11915042,nm9489622,10,5.999999928474426,7.1
tt11915062,nm9842921,1,8.300000190734863,8.3
tt11915106,nm9041093,1,3.200000047683716,3.2
tt11915184,nm11365155,1,7.800000190734863,7.8
tt11916044,nm2654571,1,6.400000095367432,6.4
tt11916122,nm10431825,1,6.099999904632568,6.1
tt11916166,nm0601012,1,5.900000095367432,5.9
tt11916218,nm11742138,1,6.800000190734863,6.8
tt11916254,nm1070766,5,6.419999980926514,7.1
tt11916302,nm3668380,1,8.199999809265137,8.2
tt11917056,nm0515383,1,7.699999809265137,7.7
tt11917346,nm2531130,6,6.333333373069763,6.9
tt11917636,nm8005454,1,5.199999809265137,5.2
tt11917642,nm16189693,1,8.0,8.0
tt11917930,nm2731729,1,5.0,5.0
tt11917938,nm0775762,2,5.049999952316284,5.7
tt11918274,nm0087525,1,7.599999904632568,7.6
tt11918288,nm0946815,1,5.599999904632568,5.6
tt11919160,nm2201450,4,4.224999904632568,4.1
tt11920236,nm11403130,1,7.0,7.0
tt11920630,nm9325932,1,5.900000095367432,5.9
tt11920800,nm10487600,1,7.699999809265137,7.7
tt11921114,nm11263455,1,7.5,7.5
tt11921252,nm1922800,1,8.5,8.5
tt11921820,nm5022534,1,6.300000190734863,6.3
tt11923304,nm2107329,6,6.583333253860474,6.5
tt11923820,nm10717958,2,6.25,5.5
tt11924028,nm11404453,1,8.100000381469727,8.1
tt11924110,nm0890060,8,5.062500059604645,3.7
tt11924122,nm7834233,2,6.5,7.4
tt11924226,nm7548678,2,6.950000047683716,5.6
tt11924232,nm10341336,3,2.933333237965902,3.1
tt11924406,nm11747339,1,6.199999809265137,6.2
tt11924428,nm11404634,1,4.900000095367432,4.9
tt11924476,nm6840460,9,3.8000000052981906,3.7
tt11924560,nm0498080,15,5.059999974568685,4.8
tt11924738,nm3374735,4,5.574999928474426,5.4
tt11924840,nm10572289,2,5.299999952316284,5.9
tt11924850,nm6607322,1,8.699999809265137,8.7
tt11925142,nm0180818,2,8.300000190734863,8.8
tt11925310,nm0229234,2,6.5,7.1
tt11926672,nm11250163,2,5.049999952316284,3.6
tt11927670,nm2973729,5,3.3800000190734862,2.9
tt11928520,nm0619913,2,7.049999952316284,7.6
tt11928696,nm8452852,1,6.199999809265137,6.2
tt11928796,nm5254274,8,5.887499988079071,5.3
tt11928960,nm8495494,7,6.842857156481061,7.4
tt11929078,nm11406188,1,4.0,4.0
tt11929598,nm2555255,1,4.0,4.0
tt11929776,nm5415746,3,6.833333333333333,6.2
tt11930126,nm8737506,1,7.0,7.0
tt11930188,nm3648760,1,6.599999904632568,6.6
tt11930236,nm11040850,3,8.96666685740153,9.1
tt11930652,nm2889953,1,4.599999904632568,4.6
