imdb_id,director_name,num_critic_for_reviews,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,num_user_for_reviews,movie_facebook_likes
tt0499549,James Cameron,723.0,0.0,CCH Pounder,1000.0,Joel David Moore,936.0,Wes Studi,855.0,3054.0,33000
tt0449088,Gore Verbinski,302.0,563.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0,1238.0,0
tt2379713,Sam Mendes,602.0,0.0,Christoph Waltz,11000.0,Rory Kinnear,393.0,Stephanie Sigman,161.0,994.0,85000
tt1345836,Christopher Nolan,813.0,22000.0,Tom Hardy,27000.0,Christian Bale,23000.0,Joseph Gordon-Levitt,23000.0,2701.0,164000
tt5289954,Doug Walker,,131.0,Doug Walker,131.0,Rob Walker,12.0,,,,0
tt0401729,Andrew Stanton,462.0,475.0,Daryl Sabara,640.0,Samantha Morton,632.0,Polly Walker,530.0,738.0,24000
tt0413300,Sam Raimi,392.0,0.0,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0,1902.0,0
tt0398286,Nathan Greno,324.0,15.0,Brad Garrett,799.0,Donna Murphy,553.0,M.C. Gainey,284.0,387.0,29000
tt2395427,Joss Whedon,635.0,0.0,Chris Hemsworth,26000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,1117.0,118000
tt0417741,David Yates,375.0,282.0,Alan Rickman,25000.0,Daniel Radcliffe,11000.0,Rupert Grint,10000.0,973.0,10000
tt2975590,Zack Snyder,673.0,0.0,Henry Cavill,15000.0,Lauren Cohan,4000.0,Alan D. Purwin,2000.0,3018.0,197000
tt0348150,Bryan Singer,434.0,0.0,Kevin Spacey,18000.0,Marlon Brando,10000.0,Frank Langella,903.0,2367.0,0
tt0830515,Marc Forster,403.0,395.0,Giancarlo Giannini,451.0,Mathieu Amalric,412.0,Rory Kinnear,393.0,1243.0,0
tt0383574,Gore Verbinski,313.0,563.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0,1832.0,5000
tt1210819,Gore Verbinski,450.0,563.0,Johnny Depp,40000.0,Ruth Wilson,2000.0,Tom Wilkinson,1000.0,711.0,48000
tt0770828,Zack Snyder,733.0,0.0,Henry Cavill,15000.0,Christopher Meloni,3000.0,Harry Lennix,748.0,2536.0,118000
tt0499448,Andrew Adamson,258.0,80.0,Peter Dinklage,22000.0,Pierfrancesco Favino,216.0,Damián Alcázar,201.0,438.0,0
tt0848228,Joss Whedon,703.0,0.0,Chris Hemsworth,26000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,1722.0,123000
tt1298650,Rob Marshall,448.0,252.0,Johnny Depp,40000.0,Sam Claflin,11000.0,Stephen Graham,1000.0,484.0,58000
tt1409024,Barry Sonnenfeld,451.0,188.0,Will Smith,10000.0,Michael Stuhlbarg,816.0,Nicole Scherzinger,718.0,341.0,40000
tt2310332,Peter Jackson,422.0,0.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0,802.0,65000
tt0948470,Marc Webb,599.0,464.0,Emma Stone,15000.0,Andrew Garfield,10000.0,Chris Zylka,963.0,1225.0,56000
tt0955308,Ridley Scott,343.0,0.0,Mark Addy,891.0,William Hurt,882.0,Scott Grimes,738.0,546.0,17000
tt1170358,Peter Jackson,509.0,0.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0,951.0,83000
tt0385752,Chris Weitz,251.0,129.0,Christopher Lee,16000.0,Eva Green,6000.0,Kristin Scott Thomas,1000.0,666.0,0
tt0360717,Peter Jackson,446.0,0.0,Naomi Watts,6000.0,Thomas Kretschmann,919.0,Evan Parke,84.0,2618.0,0
tt0120338,James Cameron,315.0,0.0,Leonardo DiCaprio,29000.0,Kate Winslet,14000.0,Gloria Stuart,794.0,2528.0,26000
tt3498820,Anthony Russo,516.0,94.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,Chris Evans,11000.0,1022.0,72000
tt1440129,Peter Berg,377.0,532.0,Liam Neeson,14000.0,Alexander Skarsgård,10000.0,Tadanobu Asano,627.0,751.0,44000
tt0369610,Colin Trevorrow,644.0,365.0,Bryce Dallas Howard,3000.0,Judy Greer,2000.0,Omar Sy,1000.0,1290.0,150000
tt1074638,Sam Mendes,750.0,0.0,Albert Finney,883.0,Helen McCrory,563.0,Rory Kinnear,393.0,1498.0,80000
tt0316654,Sam Raimi,300.0,0.0,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0,1303.0,0
tt1300854,Shane Black,608.0,1000.0,Robert Downey Jr.,21000.0,Jon Favreau,4000.0,Don Cheadle,3000.0,1187.0,95000
tt1014759,Tim Burton,451.0,13000.0,Johnny Depp,40000.0,Alan Rickman,25000.0,Anne Hathaway,11000.0,736.0,24000
tt0376994,Brett Ratner,334.0,420.0,Hugh Jackman,20000.0,Kelsey Grammer,808.0,Daniel Cudmore,560.0,1912.0,0
tt1453405,Dan Scanlon,376.0,37.0,Steve Buscemi,12000.0,Tyler Labine,779.0,Sean Hayes,760.0,265.0,44000
tt1055369,Michael Bay,366.0,0.0,Glenn Morshower,894.0,Kevin Dunn,581.0,Ramon Rodriguez,464.0,1439.0,0
tt2109248,Michael Bay,378.0,0.0,Bingbing Li,974.0,Sophia Myles,956.0,Kelsey Grammer,808.0,918.0,56000
tt1623205,Sam Raimi,525.0,0.0,Tim Holmes,44000.0,Mila Kunis,15000.0,James Franco,11000.0,511.0,60000
tt1872181,Marc Webb,495.0,464.0,Emma Stone,15000.0,Andrew Garfield,10000.0,B.J. Novak,825.0,1067.0,41000
tt1104001,Joseph Kosinski,469.0,364.0,Jeff Bridges,12000.0,Olivia Wilde,10000.0,James Frain,1000.0,665.0,30000
tt1216475,John Lasseter,304.0,487.0,Joe Mantegna,1000.0,Thomas Kretschmann,919.0,Eddie Izzard,776.0,283.0,10000
tt1133985,Martin Campbell,436.0,258.0,Ryan Reynolds,16000.0,Temuera Morrison,368.0,Taika Waititi,326.0,550.0,24000
tt0435761,Lee Unkrich,453.0,125.0,Tom Hanks,15000.0,John Ratzenberger,1000.0,Don Rickles,721.0,733.0,30000
tt0438488,McG,422.0,368.0,Christian Bale,23000.0,Bryce Dallas Howard,3000.0,Common,988.0,974.0,0
tt2820852,James Wan,424.0,0.0,Jason Statham,26000.0,Paul Walker,23000.0,Vin Diesel,14000.0,657.0,94000
tt0816711,Marc Forster,654.0,395.0,Peter Capaldi,17000.0,Brad Pitt,11000.0,Mireille Enos,1000.0,995.0,129000
tt1877832,Bryan Singer,539.0,0.0,Jennifer Lawrence,34000.0,Peter Dinklage,22000.0,Hugh Jackman,20000.0,752.0,82000
tt1408101,J.J. Abrams,590.0,14000.0,Benedict Cumberbatch,19000.0,Bruce Greenwood,981.0,Noel Clarke,928.0,1171.0,92000
tt1351685,Bryan Singer,338.0,0.0,Eddie Marsan,979.0,Ewen Bremner,557.0,Ralph Brown,140.0,205.0,22000
tt1343092,Baz Luhrmann,490.0,1000.0,Leonardo DiCaprio,29000.0,Elizabeth Debicki,509.0,Steve Bisley,77.0,753.0,115000
tt0473075,Mike Newell,306.0,179.0,Jake Gyllenhaal,15000.0,Richard Coyle,567.0,Reece Ritchie,236.0,453.0,23000
tt1663662,Guillermo del Toro,575.0,0.0,Charlie Hunnam,16000.0,Clifton Collins Jr.,968.0,Larry Joe Campbell,919.0,1106.0,83000
tt1399103,Michael Bay,428.0,0.0,Glenn Morshower,894.0,Lester Speight,829.0,Kevin Dunn,581.0,899.0,46000
tt0367882,Steven Spielberg,470.0,14000.0,Harrison Ford,11000.0,Ray Winstone,1000.0,Jim Broadbent,1000.0,2054.0,5000
tt1979388,Peter Sohn,298.0,113.0,A.J. Buckley,275.0,Jack McGraw,150.0,Peter Sohn,113.0,345.0,20000
tt1217209,Mark Andrews,488.0,56.0,Kelly Macdonald,2000.0,John Ratzenberger,1000.0,Julie Walters,838.0,428.0,39000
tt2660888,Justin Lin,322.0,681.0,Sofia Boutella,998.0,Melissa Roxburgh,119.0,Lydia Wilson,105.0,432.0,30000
tt0910970,Andrew Stanton,421.0,475.0,John Ratzenberger,1000.0,Fred Willard,729.0,Jeff Garlin,522.0,1043.0,16000
tt0293564,Brett Ratner,162.0,420.0,Tzi Ma,268.0,Dana Ivey,268.0,Noémie Lenoir,173.0,221.0,0
tt1190080,Roland Emmerich,367.0,776.0,Oliver Platt,1000.0,Liam James,468.0,Tom McCarthy,310.0,1055.0,13000
tt1067106,Robert Zemeckis,240.0,0.0,Robin Wright,18000.0,Colin Firth,14000.0,Gary Oldman,10000.0,249.0,0
tt1617661,Lana Wachowski,384.0,0.0,Channing Tatum,17000.0,Mila Kunis,15000.0,Eddie Redmayne,13000.0,720.0,44000
tt0918940,David Yates,248.0,282.0,Christoph Waltz,11000.0,Alexander Skarsgård,10000.0,Casper Crump,103.0,239.0,29000
tt0363771,Andrew Adamson,284.0,80.0,Jim Broadbent,1000.0,Kiran Shah,190.0,Shane Rangi,82.0,1463.0,0
tt3385516,Bryan Singer,396.0,0.0,Jennifer Lawrence,34000.0,Michael Fassbender,13000.0,Tye Sheridan,1000.0,622.0,54000
tt0468569,Christopher Nolan,645.0,22000.0,Christian Bale,23000.0,Heath Ledger,13000.0,Morgan Freeman,11000.0,4667.0,37000
tt1049413,Pete Docter,408.0,0.0,John Ratzenberger,1000.0,Delroy Lindo,848.0,Jess Harnell,262.0,704.0,27000
tt0892782,Rob Letterman,219.0,11.0,Amy Poehler,1000.0,Rainn Wilson,973.0,Stephen Colbert,459.0,187.0,0
tt0371746,Jon Favreau,486.0,4000.0,Robert Downey Jr.,21000.0,Jeff Bridges,12000.0,Jon Favreau,4000.0,1055.0,10000
tt0970179,Martin Scorsese,682.0,17000.0,Chloë Grace Moretz,17000.0,Christopher Lee,16000.0,Ray Winstone,1000.0,678.0,42000
tt0120891,Barry Sonnenfeld,85.0,188.0,Will Smith,10000.0,Salma Hayek,4000.0,Bai Ling,582.0,648.0,0
tt0859163,Rob Cohen,264.0,357.0,Jet Li,5000.0,Brendan Fraser,3000.0,Russell Wong,595.0,501.0,0
tt1386697,David Ayer,418.0,452.0,Will Smith,10000.0,Robin Atkin Downes,336.0,Ike Barinholtz,329.0,971.0,80000
tt0413099,Tom Shadyac,186.0,293.0,Jimmy Bennett,87000.0,Morgan Freeman,11000.0,Steve Carell,7000.0,257.0,2000
tt1631867,Doug Liman,585.0,218.0,Tom Cruise,10000.0,Lara Pulver,854.0,Noah Taylor,509.0,741.0,77000
tt0114898,Kevin Reynolds,91.0,58.0,Jeanne Tripplehorn,711.0,Rick Aviles,60.0,Zakes Mokae,60.0,309.0,0
tt1046173,Stephen Sommers,250.0,208.0,Joseph Gordon-Levitt,23000.0,Dennis Quaid,2000.0,Leo Howard,570.0,534.0,0
tt2096673,Pete Docter,536.0,0.0,Amy Poehler,1000.0,Mindy Kaling,767.0,Phyllis Smith,384.0,773.0,118000
tt3040964,Jon Favreau,370.0,4000.0,Scarlett Johansson,19000.0,Bill Murray,13000.0,Garry Shandling,591.0,398.0,65000
tt1228705,Jon Favreau,453.0,4000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,Jon Favreau,4000.0,723.0,18000
tt1735898,Rupert Sanders,416.0,274.0,Chris Hemsworth,26000.0,Kristen Stewart,17000.0,Sam Claflin,11000.0,710.0,53000
tt1587310,Robert Stromberg,401.0,171.0,Angelina Jolie Pitt,11000.0,Sharlto Copley,2000.0,Sam Riley,846.0,634.0,89000
tt2103281,Matt Reeves,521.0,198.0,Gary Oldman,10000.0,Judy Greer,2000.0,Kodi Smit-McPhee,884.0,620.0,45000
tt1321869,Roland Joffé,10.0,596.0,Tamsin Egerton,622.0,Alice Englert,525.0,Bipasha Basu,283.0,15.0,677
tt1335975,Carl Rinsch,218.0,47.0,Keanu Reeves,18000.0,Cary-Hiroyuki Tagawa,1000.0,Jin Akanishi,982.0,324.0,35000
tt1843866,Anthony Russo,576.0,94.0,Scarlett Johansson,19000.0,Chris Evans,11000.0,Hayley Atwell,2000.0,742.0,55000
tt0892791,Mike Mitchell,226.0,31.0,Jon Hamm,4000.0,Kathy Griffin,225.0,Mary Kay Place,213.0,173.0,0
tt1964418,Brad Bird,443.0,663.0,Judy Greer,2000.0,Chris Bauer,638.0,Thomas Robinson,604.0,497.0,37000
tt2245084,Don Hall,384.0,38.0,Damon Wayans Jr.,756.0,Daniel Henney,719.0,Abraham Benrubi,562.0,433.0,41000
tt1772341,Rich Moore,377.0,66.0,Jack McBrayer,975.0,Sarah Silverman,931.0,Joe Lo Truglio,833.0,345.0,40000
tt0338348,Robert Zemeckis,188.0,0.0,Tom Hanks,15000.0,Eddie Deezen,726.0,Peter Scolari,267.0,444.0,10000
tt1628841,Roland Emmerich,286.0,776.0,Vivica A. Fox,890.0,Sela Ward,812.0,Judd Hirsch,535.0,520.0,67000
tt0892769,Dean DeBlois,288.0,255.0,Gerard Butler,18000.0,America Ferrera,953.0,Craig Ferguson,759.0,492.0,33000
tt0181852,Jonathan Mostow,280.0,84.0,Nick Stahl,648.0,M.C. Gainey,284.0,Carolyn Hennesy,191.0,1676.0,0
tt2015381,James Gunn,653.0,571.0,Bradley Cooper,14000.0,Vin Diesel,14000.0,Djimon Hounsou,3000.0,1097.0,96000
tt0816692,Christopher Nolan,712.0,22000.0,Matthew McConaughey,11000.0,Anne Hathaway,11000.0,Mackenzie Foy,6000.0,2725.0,349000
tt1375666,Christopher Nolan,642.0,22000.0,Leonardo DiCaprio,29000.0,Tom Hardy,27000.0,Joseph Gordon-Levitt,23000.0,2803.0,175000
tt4262980,Hideaki Anno,1.0,28.0,Mark Chinnery,544.0,Shin'ya Tsukamoto,106.0,Atsuko Maeda,12.0,13.0,0
tt0903624,Peter Jackson,645.0,0.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0,1367.0,166000
tt0232500,Rob Cohen,187.0,357.0,Paul Walker,23000.0,Vin Diesel,14000.0,Jordana Brewster,4000.0,988.0,14000
tt0421715,David Fincher,362.0,21000.0,Brad Pitt,11000.0,Jason Flemyng,1000.0,Julia Ormond,919.0,822.0,23000
tt1270798,Matthew Vaughn,500.0,905.0,Jennifer Lawrence,34000.0,Michael Fassbender,13000.0,Oliver Platt,1000.0,698.0,54000
tt1951266,Francis Lawrence,389.0,508.0,Jennifer Lawrence,34000.0,Philip Seymour Hoffman,22000.0,Josh Hutcherson,14000.0,383.0,38000
tt0963966,Jon Turteltaub,235.0,226.0,Nicolas Cage,12000.0,Omar Benson Miller,418.0,Robert Capron,370.0,238.0,11000
tt0409182,Wolfgang Petersen,231.0,249.0,Jimmy Bennett,87000.0,Mike Vogel,2000.0,Andre Braugher,702.0,629.0,0
tt2567026,James Bobin,218.0,33.0,Johnny Depp,40000.0,Alan Rickman,25000.0,Anne Hathaway,11000.0,131.0,30000
tt0413267,Chris Miller,227.0,50.0,Justin Timberlake,3000.0,Eric Idle,795.0,Rupert Everett,692.0,326.0,0
tt0803096,Duncan Jones,275.0,0.0,Dominic Cooper,3000.0,Callum Rennie,716.0,Ruth Negga,648.0,781.0,89000
tt1340138,Alan Taylor,474.0,230.0,J.K. Simmons,24000.0,Emilia Clarke,10000.0,Matt Smith,2000.0,867.0,82000
tt0980970,Michael Apted,228.0,150.0,Bruce Spence,531.0,Shane Rangi,82.0,Laura Brent,59.0,227.0,11000
tt0213149,Michael Bay,191.0,0.0,Jennifer Garner,3000.0,Jaime King,961.0,Mako,691.0,1999.0,0
tt0418279,Michael Bay,396.0,0.0,Zack Ward,662.0,Michael O'Neill,599.0,Kevin Dunn,581.0,1782.0,8000
tt0346491,Oliver Stone,248.0,0.0,Anthony Hopkins,12000.0,Angelina Jolie Pitt,11000.0,Brian Blessed,591.0,1390.0,0
tt0373889,David Yates,329.0,282.0,Robert Pattinson,21000.0,Daniel Radcliffe,11000.0,Fiona Shaw,687.0,1108.0,0
tt0330373,Mike Newell,295.0,179.0,Robert Pattinson,21000.0,Daniel Radcliffe,11000.0,Rupert Grint,10000.0,1896.0,0
tt0448157,Peter Berg,318.0,532.0,Will Smith,10000.0,Charlize Theron,9000.0,Eddie Marsan,979.0,590.0,0
tt0480249,Francis Lawrence,323.0,508.0,Will Smith,10000.0,Alice Braga,1000.0,Willow Smith,558.0,1413.0,11000
tt0367594,Tim Burton,276.0,13000.0,Johnny Depp,40000.0,Christopher Lee,16000.0,David Kelly,588.0,1361.0,0
tt0382932,Brad Bird,318.0,663.0,Janeane Garofalo,1000.0,John Ratzenberger,1000.0,Brian Dennehy,954.0,626.0,10000
tt0372784,Christopher Nolan,478.0,22000.0,Christian Bale,23000.0,Liam Neeson,14000.0,Morgan Freeman,11000.0,2685.0,15000
tt0479952,Eric Darnell,167.0,35.0,Bernie Mac,1000.0,Jada Pinkett Smith,851.0,Cedric the Entertainer,436.0,119.0,0
tt1078912,Shawn Levy,185.0,189.0,Robin Williams,49000.0,Rami Malek,3000.0,Steve Coogan,1000.0,209.0,2000
tt0458525,Gavin Hood,350.0,151.0,Hugh Jackman,20000.0,Ryan Reynolds,16000.0,Dominic Monaghan,2000.0,641.0,0
tt0242653,Lana Wachowski,245.0,0.0,Essie Davis,309.0,Collin Chou,269.0,Nona Gaye,233.0,2121.0,0
tt2294629,Chris Buck,406.0,69.0,Josh Gad,1000.0,Maurice LaMarche,523.0,Livvy Stubenrauch,490.0,904.0,58000
tt0234215,Lana Wachowski,275.0,0.0,Steve Bastoni,234.0,Daniel Bernhardt,198.0,Helmut Bakaitis,30.0,2789.0,0
tt1981115,Alan Taylor,486.0,230.0,Chris Hemsworth,26000.0,Natalie Portman,20000.0,Anthony Hopkins,12000.0,532.0,63000
tt1392190,George Miller,739.0,750.0,Tom Hardy,27000.0,Charlize Theron,9000.0,Zoë Kravitz,943.0,1588.0,191000
tt0808151,Ron Howard,298.0,2000.0,Tom Hanks,15000.0,Ayelet Zurer,745.0,Armin Mueller-Stahl,294.0,435.0,0
tt0800369,Kenneth Branagh,516.0,0.0,Chris Hemsworth,26000.0,Natalie Portman,20000.0,Anthony Hopkins,12000.0,738.0,63000
tt0397892,Byron Howard,225.0,59.0,Chloë Grace Moretz,17000.0,Diedrich Bader,759.0,James Lipton,699.0,178.0,0
tt0436339,Hoyt Yeatman,145.0,12.0,Kelli Garner,730.0,Piper Mackenzie Harris,607.0,Niecy Nash,182.0,90.0,0
tt1646987,Jonathan Liebesman,310.0,473.0,Liam Neeson,14000.0,Edgar Ramírez,897.0,Lily James,502.0,253.0,19000
tt1077368,Tim Burton,526.0,13000.0,Johnny Depp,40000.0,Chloë Grace Moretz,17000.0,Christopher Lee,16000.0,479.0,82000
tt2381249,Christopher McQuarrie,465.0,188.0,Tom Cruise,10000.0,Jeremy Renner,10000.0,Sean Harris,641.0,440.0,47000
tt0780653,Joe Johnston,357.0,394.0,Anthony Hopkins,12000.0,Simon Merrells,490.0,Art Malik,162.0,432.0,0
tt0918940,David Yates,248.0,282.0,Christoph Waltz,11000.0,Alexander Skarsgård,10000.0,Casper Crump,103.0,239.0,29000
tt0389790,Steve Hickner,194.0,58.0,Matthew Broderick,2000.0,Oprah Winfrey,852.0,Rip Torn,826.0,206.0,0
tt1302011,Jennifer Yuh Nelson,284.0,90.0,Angelina Jolie Pitt,11000.0,Gary Oldman,10000.0,Mike Bell,15.0,209.0,20000
