tconst,primaryTitle,startYear,averageRating,numVotes,genre_score,movie_writer_quality,movie_actor_score,budget,director_quality,imdb_id,director_name,num_critic_for_reviews,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,num_user_for_reviews,movie_facebook_likes
tt10103028,Blindfire,2020,4.9,807,5.934379375043728,4.900000095367432,6.312798778856992,25411765.758938257,4.900000095367432,tt10103028,James Cameron,723.0,0.0,CCH Pounder,1000.0,Joel David Moore,936.0,Wes Studi,855.0,3054.0,33000.0
tt29173358,BJJ: Woman on Top,2023,4.3,143,6.222950643159742,4.775000095367432,5.584329313113689,22449168.97011252,4.950000047683716,tt29173358,Gore Verbinski,302.0,563.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0,1238.0,0.0
tt10276160,Weekend,2020,4.8,311,5.914761655885377,4.800000190734863,6.594587194287915,25531682.48902002,4.800000190734863,tt10276160,Sam Mendes,602.0,0.0,Christoph Waltz,11000.0,Rory Kinnear,393.0,Stephanie Sigman,161.0,994.0,85000.0
tt20511498,Plancha,2022,5.4,702,5.885894239644082,5.350000143051148,6.509761648433125,28289376.5727412,5.350000143051148,tt20511498,Christopher Nolan,813.0,22000.0,Tom Hardy,27000.0,Christian Bale,23000.0,Joseph Gordon-Levitt,23000.0,2701.0,164000.0
tt13575922,Cheeni,2020,6.4,786,6.222950643159742,6.562023851985022,7.932980596515833,22449168.97011252,6.733333428700765,tt13575922,Doug Walker,,131.0,Doug Walker,131.0,Rob Walker,12.0,,,,0.0
tt26684750,Ultra Red,2023,3.5,108,5.464677190288741,5.377777761883205,5.693652287606238,42929860.016185984,5.299999989961323,tt26684750,Andrew Stanton,462.0,475.0,Daryl Sabara,640.0,Samantha Morton,632.0,Polly Walker,530.0,738.0,24000.0
tt12163646,Agua de Arrayan,2021,8.6,23,6.222950643159742,8.600000381469727,8.54037873727178,22449168.97011252,8.600000381469727,,,,,,,,,,,,
tt10786774,Sam Bahadur,2023,7.7,19697,6.508681045845364,6.999999920527141,7.67596941746566,22316555.880383592,6.549999952316284,tt10786774,Nathan Greno,324.0,15.0,Brad Garrett,799.0,Donna Murphy,553.0,M.C. Gainey,284.0,387.0,29000.0
tt15848010,Vaaitha,2022,5.6,156,6.098282728260086,5.599999904632568,7.148905559090818,23810550.63444363,5.599999904632568,tt15848010,Joss Whedon,635.0,0.0,Chris Hemsworth,26000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,1117.0,118000.0
tt16450934,Love Machine 2,2022,5.6,111,5.885894239644082,5.8666666348775225,6.290915114444261,28289376.5727412,5.700000047683716,tt16450934,David Yates,375.0,282.0,Alan Rickman,25000.0,Daniel Radcliffe,11000.0,Rupert Grint,10000.0,973.0,10000.0
tt27756224,Wasted,2023,9.6,9,6.222950643159742,9.600000381469728,5.0,22449168.97011252,9.600000381469728,tt27756224,Zack Snyder,673.0,0.0,Henry Cavill,15000.0,Lauren Cohan,4000.0,Alan D. Purwin,2000.0,3018.0,197000.0
tt15670222,The Flood,2023,3.2,2319,5.436928286568318,4.3166667222976685,5.164923189945569,32586910.75400862,3.783333381017049,tt15670222,Bryan Singer,434.0,0.0,Kevin Spacey,18000.0,Marlon Brando,10000.0,Frank Langella,903.0,2367.0,0.0
tt10518240,The Donkey King,2020,5.2,322,6.024813727152462,5.199999809265137,6.523694021160398,52168570.67488267,5.199999809265137,tt10518240,Marc Forster,403.0,395.0,Giancarlo Giannini,451.0,Mathieu Amalric,412.0,Rory Kinnear,393.0,1243.0,0.0
tt32916201,Vulgar,2024,5.5,145,5.985107708534049,5.5,7.359218686378941,24629269.511692487,5.5,tt32916201,Gore Verbinski,313.0,563.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0,1832.0,5000.0
tt11388816,Married and Loving It!,2020,5.8,22,6.222950643159742,5.800000190734863,6.828629213836014,22449168.97011252,5.800000190734863,tt11388816,Gore Verbinski,450.0,563.0,Johnny Depp,40000.0,Ruth Wilson,2000.0,Tom Wilkinson,1000.0,711.0,48000.0
tt13452544,Graphic Desires,2022,4.3,543,5.606572668611012,4.300000095367432,4.419905093296184,28614196.00792752,4.440000104904175,tt13452544,Zack Snyder,733.0,0.0,Henry Cavill,15000.0,Christopher Meloni,3000.0,Harry Lennix,748.0,2536.0,118000.0
tt24850708,Gunslingers,2025,3.6,1012,5.939163136921294,3.699999888737997,5.549377360434594,29971396.32591714,4.199999979564121,tt24850708,Andrew Adamson,258.0,80.0,Peter Dinklage,22000.0,Pierfrancesco Favino,216.0,Damián Alcázar,201.0,438.0,0.0
tt23863558,Da Pop-Up Movie,2022,9.2,16,5.885894239644082,5.0,8.488926630886603,28289376.5727412,9.199999809265137,,,,,,,,,,,,
tt26670485,Royal,2025,5.0,183,5.807406297652405,6.407142877578735,7.561866247511523,40568748.73810671,5.0,tt26670485,Rob Marshall,448.0,252.0,Johnny Depp,40000.0,Sam Claflin,11000.0,Stephen Graham,1000.0,484.0,58000.0
tt13294064,Herd Immunity,2021,6.5,25,6.222950643159742,6.577777756585015,7.133685653724896,22449168.97011252,6.577777756585015,tt13294064,Barry Sonnenfeld,451.0,188.0,Will Smith,10000.0,Michael Stuhlbarg,816.0,Nicole Scherzinger,718.0,341.0,40000.0
tt14881588,Cuzzo,2021,7.2,14,5.914761655885377,7.299999872843425,8.780713300398856,25531682.48902002,7.5,tt14881588,Peter Jackson,422.0,0.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0,802.0,65000.0
tt6692776,The Swearing Jar,2022,6.2,813,6.156287938925195,6.199999809265137,6.790053678289453,19845209.201655608,6.199999809265137,tt6692776,Marc Webb,599.0,464.0,Emma Stone,15000.0,Andrew Garfield,10000.0,Chris Zylka,963.0,1225.0,56000.0
tt23668086,2323 the Beginning,2022,9.1,12,5.728918355660729,9.100000381469728,7.275717255617179,52848120.90347222,9.100000381469728,tt23668086,Ridley Scott,343.0,0.0,Mark Addy,891.0,William Hurt,882.0,Scott Grimes,738.0,546.0,17000.0
tt11279448,The Blonde Experiment,2022,6.8,49,5.885894239644082,6.800000190734863,7.47069531386059,28289376.5727412,6.800000190734863,tt11279448,Peter Jackson,509.0,0.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0,951.0,83000.0
tt14952882,Eighteen Hours,2021,4.9,236,5.606572668611012,4.900000095367432,7.032590875741527,28614196.00792752,6.0,tt14952882,Chris Weitz,251.0,129.0,Christopher Lee,16000.0,Eva Green,6000.0,Kristin Scott Thomas,1000.0,666.0,0.0
tt11511078,Welcome to Kittytown,2025,7.2,6,5.394656595681256,7.199999809265137,8.231719901252477,33944438.64927059,7.199999809265137,,,,,,,,,,,,
tt28366799,Strawman,2023,6.1,209,6.502852952026574,5.933333277702332,6.718408790512186,24468268.645484067,5.950000047683716,tt28366799,James Cameron,315.0,0.0,Leonardo DiCaprio,29000.0,Kate Winslet,14000.0,Gloria Stuart,794.0,2528.0,26000.0
