original_title,popularity,runtime,averageRating,release_year,release_month,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,num_user_for_reviews,movie_facebook_likes,Genre_first_values,budget_adjusted
Hot Tub Time Machine 2,6.575393,93.0,5.0,2015.0,2.0,107.0,38.0,3000.0,837.0,390.0,96.0,0,Comedy,18330179.847930733
The Princess Diaries 2: Royal Engagement,8.248895,113.0,5.9,2004.0,8.0,77.0,0.0,11000.0,1000.0,995.0,152.0,1000,Comedy,63558833.565284155
Whiplash,44.77527430342312,105.0,8.5,2014.0,10.0,535.0,141.0,24000.0,970.0,535.0,731.0,129000,Drama,4325814.564476884
The Possession,7.286477,92.0,5.9,2012.0,8.0,264.0,30.0,941.0,459.0,309.0,162.0,17000,Horror,18922812.571730956
The Possession,7.286477,92.0,5.9,2012.0,8.0,264.0,30.0,941.0,459.0,309.0,162.0,17000,Horror,18922812.571730956
The Possession,7.286477,92.0,5.9,2012.0,8.0,264.0,30.0,941.0,459.0,309.0,162.0,17000,Horror,18922812.571730956
The Possession,7.286477,92.0,5.9,2012.0,8.0,264.0,30.0,941.0,459.0,309.0,162.0,17000,Horror,18922812.571730956
A Mighty Wind,4.672036,91.0,7.2,2003.0,4.0,97.0,378.0,658.0,378.0,345.0,272.0,0,Comedy,9533825.884792617
Rocky,14.774066,119.0,8.1,1976.0,11.0,141.0,80.0,13000.0,1000.0,794.0,542.0,0,Drama,5768142.263940516
American Beauty,20.726578,122.0,8.3,1999.0,9.0,176.0,0.0,18000.0,828.0,158.0,2715.0,22000,Drama,27031882.533101045
Be Cool,13.314233,118.0,5.6,2005.0,3.0,161.0,473.0,12000.0,1000.0,680.0,323.0,0,Comedy,84215454.14900157
Minority Report,20.666063,145.0,7.6,2002.0,6.0,252.0,14000.0,10000.0,798.0,533.0,1331.0,0,Action,183816795.42508852
Red Eye,6.336927,85.0,6.4,2005.0,8.0,224.0,0.0,332.0,285.0,178.0,673.0,0,Horror,41313242.16743477
Transporter 2,11.359659,87.0,6.3,2005.0,8.0,163.0,255.0,26000.0,1000.0,810.0,340.0,0,Action,50847067.052227296
Lost in Space,12.000579,130.0,5.2,1998.0,4.0,102.0,81.0,10000.0,882.0,427.0,370.0,0,Adventure,144170035.84320578
Friday the 13th Part III,7.99229,95.0,5.6,1982.0,8.0,235.0,49.0,72.0,31.0,20.0,372.0,0,Horror,15064369.93203885
The Spanish Prisoner,4.305735,110.0,7.1,1997.0,9.0,97.0,342.0,623.0,508.0,393.0,263.0,578,Crime,20362599.425196815
Changing Lanes,7.81862,89.0,6.5,2002.0,4.0,167.0,50.0,521.0,108.0,67.0,350.0,0,Action,81095645.59930305
The Last Witch Hunter,13.412445,106.0,5.9,2015.0,10.0,202.0,42.0,14000.0,788.0,612.0,117.0,21000,Fantasy,117836865.02241172
Rush Hour 3,9.718111,91.0,6.2,2007.0,8.0,162.0,420.0,268.0,268.0,173.0,221.0,0,Action,209536129.71487653
Safe,8.234382,94.0,6.5,2012.0,4.0,258.0,132.0,26000.0,828.0,317.0,134.0,12000,Action,40548882.93942356
Outbreak,13.676444,127.0,6.6,1995.0,3.0,64.0,249.0,18000.0,11000.0,808.0,130.0,0,Action,101812993.12598431
Major Dundee,3.055936,123.0,6.7,2065.0,4.0,53.0,541.0,773.0,575.0,288.0,67.0,251,War,3800000.9999999995
The Next Best Thing,2.971999,108.0,4.7,2000.0,3.0,86.0,154.0,774.0,692.0,347.0,162.0,378,Comedy,45053136.88850172
The Wedding Date,5.615303,88.0,6.1,2005.0,2.0,103.0,6.0,1000.0,650.0,458.0,250.0,0,Comedy,23834563.211981535
Ice Age: The Meltdown,16.646029,91.0,6.8,2006.0,3.0,164.0,107.0,835.0,590.0,241.0,253.0,0,Animation,123145239.09523888
The Hateful Eight,20.328822,167.0,7.8,2015.0,12.0,596.0,16000.0,46000.0,1000.0,1000.0,1018.0,114000,Crime,57609134.52206807
Star Trek: Generations,8.105708,118.0,6.6,1994.0,11.0,98.0,18.0,1000.0,946.0,906.0,249.0,0,Science Fiction,77377875.015748
Risen,8.759801,107.0,6.3,2016.0,2.0,122.0,58.0,141.0,76.0,47.0,117.0,21000,Action,25859746.757415436
Batman & Robin,17.038824,125.0,3.8,1997.0,6.0,183.0,541.0,920.0,890.0,409.0,1018.0,0,Action,254532481.31496042
All About the Benjamins,3.909079,95.0,5.8,2002.0,3.0,40.0,10.0,706.0,266.0,111.0,33.0,530,Action,25229757.09756101
Casino Royale,23.065078,144.0,8.0,2006.0,11.0,400.0,258.0,6000.0,1000.0,834.0,2301.0,0,Adventure,230897322.42857105
Casino Royale,23.065078,144.0,8.0,2006.0,11.0,400.0,258.0,6000.0,1000.0,834.0,2301.0,0,Adventure,230897322.42857105
Casino Royale,23.065078,144.0,8.0,2006.0,11.0,400.0,258.0,6000.0,1000.0,834.0,2301.0,0,Adventure,230897322.42857105
Casino Royale,23.065078,144.0,8.0,2006.0,11.0,400.0,258.0,6000.0,1000.0,834.0,2301.0,0,Adventure,230897322.42857105
Trapeze,1.801071,105.0,6.8,2056.0,5.0,20.0,82.0,746.0,119.0,69.0,35.0,283,Drama,4000001.0000000005
Friday the 13th Part VIII: Jason Takes Manhattan,7.743144,100.0,4.5,1989.0,7.0,129.0,6.0,935.0,120.0,65.0,291.0,1000,Horror,11871691.895179786
Nebraska,11.160699,115.0,7.7,2013.0,9.0,433.0,729.0,1000.0,844.0,622.0,274.0,28000,Drama,15985406.031829918
Bloodsport,8.822276,92.0,6.8,1988.0,2.0,61.0,15.0,633.0,403.0,49.0,210.0,0,Action,3561508.2685539476
To Kill a Mockingbird,14.284787,129.0,8.3,2062.0,12.0,127.0,89.0,3000.0,226.0,161.0,471.0,15000,Crime,2000001.0000000016
The Fast and the Furious: Tokyo Drift,2.238808,104.0,6.1,2006.0,6.0,158.0,681.0,584.0,227.0,159.0,378.0,0,Action,130841816.47619155
The Jacket,12.092096,103.0,7.1,2005.0,3.0,161.0,11.0,1000.0,948.0,566.0,263.0,0,Drama,46080154.60983101
Fright Night,9.665251,106.0,6.4,2011.0,8.0,358.0,44.0,596.0,343.0,133.0,242.0,23000,Horror,23453212.759632606
Caddyshack,10.451986,98.0,7.2,1980.0,7.0,71.0,11000.0,13000.0,573.0,484.0,250.0,0,Comedy,22596554.398058258
Dark Blue,4.98408,118.0,6.6,2002.0,12.0,71.0,41.0,556.0,463.0,274.0,125.0,455,Action,27031882.533101045
Shopgirl,4.349046,104.0,6.3,2005.0,10.0,124.0,14.0,827.0,545.0,161.0,268.0,1000,Comedy,16341807.884270335
The Skeleton Key,10.947957,104.0,6.5,2005.0,7.0,193.0,34.0,545.0,351.0,280.0,371.0,0,Drama,68325746.0076804
Silent House,10.239941,85.0,5.2,2011.0,1.0,218.0,9.0,120.0,44.0,32.0,154.0,0,Horror,2759202.383486188
Congo,7.260574,109.0,5.3,1995.0,6.0,55.0,155.0,426.0,387.0,293.0,147.0,0,Action,101812993.12598431
紅番區,12.314278,91.0,6.8,1995.0,1.0,62.0,7.0,186.0,147.0,36.0,81.0,0,Crime,15271949.818897633
Kill Bill: Vol. 1,25.261865,111.0,8.2,2003.0,10.0,354.0,16000.0,926.0,890.0,640.0,2105.0,13000,Action,47669125.42396312
Le Hussard sur le toit,1.690768,135.0,7.0,1995.0,9.0,28.0,22.0,837.0,541.0,45.0,25.0,262,War,71269095.48818901
Mulholland Drive,18.184056,147.0,7.9,2001.0,5.0,252.0,0.0,6000.0,889.0,669.0,1768.0,16000,Thriller,27031882.533101045
A Beautiful Mind,11.93646,135.0,8.2,2001.0,12.0,205.0,2000.0,1000.0,592.0,535.0,1171.0,29000,Drama,108127527.13240407
Won't Back Down,2.401289,121.0,6.4,2012.0,9.0,102.0,33.0,1000.0,919.0,505.0,37.0,0,Drama,21626071.367692504
Extraordinary Measures,6.523155,105.0,6.4,2010.0,1.0,126.0,12.0,11000.0,3000.0,946.0,64.0,0,Drama,44117594.64566908
Braveheart,20.755149,174.11587433319053,8.3,1995.0,5.0,132.0,0.0,906.0,466.0,403.0,1065.0,17000,Action,146610709.66141707
An Ideal Husband,3.873796,97.0,6.8,1999.0,4.0,105.0,32.0,893.0,692.0,327.0,132.0,646,Drama,25229757.09756101
Bandits,13.136791,123.0,6.5,2001.0,10.0,132.0,272.0,13000.0,450.0,193.0,261.0,0,Action,135159408.66550505
Little Black Book,5.093704,111.0,5.3,2004.0,8.0,73.0,34.0,1000.0,681.0,642.0,116.0,484,Comedy,55613979.49462375
In the Heart of the Sea,11.696923,122.0,6.9,2015.0,11.0,289.0,2000.0,26000.0,911.0,571.0,161.0,27000,Thriller,130929849.91379033
The Lord of the Rings: The Fellowship of the Ring,32.070725,174.11587433319053,8.9,2001.0,12.0,297.0,0.0,16000.0,5000.0,857.0,5060.0,21000,Adventure,167597666.5052266
Undercover Brother,5.00725,86.0,5.9,2002.0,5.0,81.0,92.0,744.0,489.0,466.0,179.0,0,Action,45053136.88850172
Wild Hogs,11.356011,100.0,5.9,2007.0,3.0,177.0,12.0,419.0,330.0,311.0,255.0,0,Action,23946987.138843074
一個好人,6.183021,113.0,6.2,1997.0,1.0,63.0,472.0,472.0,155.0,64.0,70.0,355,Crime,25895021.713110227
Rush Hour 2,8.345985,90.0,6.7,2001.0,8.0,127.0,420.0,191.0,165.0,141.0,394.0,0,Action,162191290.1986062
Romeo Must Die,8.369176,115.0,6.1,2000.0,3.0,70.0,43.0,5000.0,848.0,775.0,365.0,0,Action,45053136.88850172
(500) Days of Summer,16.376657,95.0,7.7,2009.0,7.0,331.0,464.0,23000.0,17000.0,11000.0,494.0,40000,Comedy,10848689.105082117
黃石的孩子,14.622493,125.0,7.0,2008.0,7.0,67.0,55.0,991.0,10.0,2.0,33.0,1000,Drama,57653819.107504226
Get on the Bus,5.230661,120.0,6.9,1996.0,10.0,28.0,0.0,1000.0,748.0,702.0,35.0,352,Drama,4887024.622047251
Due Date,11.73956,95.0,6.5,2010.0,11.0,307.0,480.0,21000.0,561.0,490.0,285.0,25000,Comedy,92504632.83769378
Run Fatboy Run,11.840495,100.0,6.5,2007.0,9.0,168.0,0.0,427.0,269.0,231.0,143.0,0,Comedy,14966867.33677692
PCU,8.888278,79.0,6.6,1994.0,4.0,15.0,157.0,4000.0,248.0,219.0,52.0,0,Comedy,18326339.58267716
X2,0.913096,133.0,7.4,2003.0,4.0,289.0,0.0,20000.0,505.0,346.0,1055.0,0,Adventure,174786790.55453125
Girl with a Pearl Earring,7.008512,101.0,6.9,2003.0,8.0,160.0,73.0,19000.0,14000.0,1000.0,296.0,0,Drama,25423534.02611369
The Informers,6.675032,98.0,4.9,2008.0,11.0,97.0,34.0,663.0,551.0,394.0,93.0,1000,Drama,25944219.148376953
Snowpiercer,14.131906,126.0,7.1,2013.0,8.0,488.0,584.0,11000.0,557.0,398.0,514.0,58000,Action,52218990.7706443
The Boy Next Door,10.200398,91.0,4.7,2015.0,1.0,149.0,357.0,3000.0,465.0,326.0,131.0,8000,Thriller,5237194.956551637
Return to Never Land,8.759774,72.0,5.8,2002.0,2.0,80.0,2.0,1000.0,677.0,434.0,79.0,302,Adventure,36042509.71080134
Get Carter,6.047757,102.0,5.2,2000.0,10.0,102.0,19.0,13000.0,530.0,351.0,284.0,604,Action,114615178.70034838
The Quick and the Dead,7.54701,107.0,6.5,1995.0,2.0,63.0,0.0,29000.0,165.0,159.0,216.0,0,Action,65160315.96062989
Winter Passing,4.456904,98.0,6.2,2006.0,2.0,50.0,9.0,11000.0,8000.0,405.0,53.0,414,Comedy,5387605.166666676
Your Sister's Sister,10.850569,90.0,6.7,2011.0,9.0,171.0,100.0,830.0,128.0,9.0,62.0,3000,Drama,172451.08646788672
Rushmore,5.997054,93.0,7.6,1998.0,9.0,179.0,0.0,13000.0,933.0,766.0,640.0,5000,Comedy,16219129.919860644
The Reaping,9.825841,99.0,5.6,2007.0,4.0,190.0,81.0,327.0,253.0,135.0,178.0,0,Thriller,59867466.34710763
The Exorcism of Emily Rose,10.966015,122.0,6.7,2005.0,9.0,233.0,301.0,1000.0,539.0,457.0,522.0,0,Crime,30190446.46850995
The Return of the Pink Panther,6.501177,113.0,7.0,1975.0,5.0,33.0,688.0,462.0,278.0,80.0,73.0,620,Mystery,28840707.319702614
Mad Max 2,11.189831,95.0,7.6,1981.0,12.0,177.0,750.0,745.0,531.0,41.0,294.0,0,Adventure,7532185.46601942
Harper,8.55931,121.0,6.8,2066.0,2.0,22.0,22.0,606.0,481.0,367.0,74.0,470,Action,3500001.0000000056
Return to the Blue Lagoon,8.929393,98.0,5.2,1991.0,8.0,14.0,8.0,14000.0,163.0,40.0,39.0,967,Adventure,26117720.96939561
The Fast and the Furious,1.406181,106.0,6.8,2001.0,6.0,187.0,357.0,23000.0,14000.0,4000.0,988.0,14000,Action,68480767.55052257
The Fast and the Furious,1.406181,106.0,6.8,2001.0,6.0,187.0,357.0,23000.0,14000.0,4000.0,988.0,14000,Action,68480767.55052257
The Fast and the Furious,1.406181,106.0,6.8,2001.0,6.0,187.0,357.0,23000.0,14000.0,4000.0,988.0,14000,Action,68480767.55052257
The Fast and the Furious,1.406181,106.0,6.8,2001.0,6.0,187.0,357.0,23000.0,14000.0,4000.0,988.0,14000,Action,68480767.55052257
The Fast and the Furious,1.406181,106.0,6.8,2001.0,6.0,187.0,357.0,23000.0,14000.0,4000.0,988.0,14000,Action,68480767.55052257
The Fast and the Furious,1.406181,106.0,6.8,2001.0,6.0,187.0,357.0,23000.0,14000.0,4000.0,988.0,14000,Action,68480767.55052257
The Fast and the Furious,1.406181,106.0,6.8,2001.0,6.0,187.0,357.0,23000.0,14000.0,4000.0,988.0,14000,Action,68480767.55052257
The Fast and the Furious,1.406181,106.0,6.8,2001.0,6.0,187.0,357.0,23000.0,14000.0,4000.0,988.0,14000,Action,68480767.55052257
The Fast and the Furious,1.406181,106.0,6.8,2001.0,6.0,187.0,357.0,23000.0,14000.0,4000.0,988.0,14000,Action,68480767.55052257
Supernova,5.496624,91.0,4.9,2000.0,1.0,100.0,394.0,889.0,290.0,68.0,282.0,589,Horror,162191290.1986062
First Blood,14.778884,93.0,7.7,1982.0,10.0,145.0,270.0,13000.0,954.0,535.0,376.0,0,Action,56491384.49514561
