hidden_layer_sizes,activation,max_iter,batch_size,MSE,R2
"(64,)",relu,50,32,0.7271891847077966,0.36387723572277153
"(64,)",relu,50,64,0.7493590439565998,0.3444837237652847
"(64,)",relu,100,32,0.7489385443966265,0.34485156386534754
"(64,)",relu,100,64,0.7389677674553974,0.3535736932963497
"(64,)",tanh,50,32,0.7120926708761858,0.37708320235629966
"(64,)",tanh,50,64,0.7462310469716315,0.34721999945608506
"(64,)",tanh,100,32,0.7123531348947725,0.3768553564325946
"(64,)",tanh,100,64,0.7041568900501457,0.3840251796875319
"(128,)",relu,50,32,0.7223265588558143,0.36813091146995947
"(128,)",relu,50,64,0.7422820509188399,0.3506744599156847
"(128,)",relu,100,32,0.732316325804477,0.3593921701637035
"(128,)",relu,100,64,0.721346615857168,0.3689881355077227
"(128,)",tanh,50,32,0.7145855148117912,0.3749025390453261
"(128,)",tanh,50,64,0.7386466014069505,0.3538546394914064
"(128,)",tanh,100,32,0.7152226955936923,0.3743451528673535
"(128,)",tanh,100,64,0.704481869798649,0.3837408973847979
"(64, 32)",relu,50,32,0.8357610276164592,0.2689019221646036
"(64, 32)",relu,50,64,0.7621928977820754,0.3332570626109773
"(64, 32)",relu,100,32,0.794566727107708,0.3049374310296362
"(64, 32)",relu,100,64,0.758242837607665,0.3367124539314864
"(64, 32)",tanh,50,32,0.7537274023318947,0.34066241802603225
"(64, 32)",tanh,50,64,0.7254327201362747,0.3654137369828123
"(64, 32)",tanh,100,32,0.7438659525809737,0.3492889113887705
"(64, 32)",tanh,100,64,0.727046358020893,0.3640021761217712
"(128, 64)",relu,50,32,0.7811476967839606,0.3166759866118294
"(128, 64)",relu,50,64,0.7912301543756632,0.3078561623778936
"(128, 64)",relu,100,32,0.850339384655681,0.25614922317866284
"(128, 64)",relu,100,64,0.8357322107836526,0.2689271302448779
"(128, 64)",tanh,50,32,0.7374661971658583,0.3548872208672005
"(128, 64)",tanh,50,64,0.7364719706024639,0.3557569397287075
"(128, 64)",tanh,100,32,0.7886863728084749,0.3100813843645043
"(128, 64)",tanh,100,64,0.7263772629540883,0.36458747993597895
"(128, 64, 32)",relu,50,32,0.8147277827177168,0.2873011587980311
"(128, 64, 32)",relu,50,64,0.762595574363716,0.3329048135049544
"(128, 64, 32)",relu,100,32,0.9374628294746322,0.17993630951458595
"(128, 64, 32)",relu,100,64,0.8678896515983174,0.2407967886868887
"(128, 64, 32)",tanh,50,32,0.7171104962262642,0.37269376285489286
"(128, 64, 32)",tanh,50,64,0.7192217168191354,0.3708469319231651
"(128, 64, 32)",tanh,100,32,0.9264324478359872,0.1895853485907475
"(128, 64, 32)",tanh,100,64,0.7984370782723564,0.30155176670272654
