genre,avg_budget
Animation,65012910.43772242
Adventure,63203425.0141844
Sci_Fi,57245524.024444446
Action,52848120.90347222
Fantasy,48735279.96453901
Family,47869763.03741497
Thriller,28614196.00792752
Comedy,28289376.572741196
History,26487368.320855614
Crime,25171932.29877474
Mystery,24254080.005565863
Sport,24059927.669491526
Biography,23846722.933333334
Drama,22449168.970112517
Romance,20969162.450643778
War,20653775.737704918
Music,16326453.030487806
Horror,16298415.350626118
Musical,16117296.184210526
Western,14616899.104166666
Documentary,4388240.25
Film_Noir,1184270.0625
News,350000.0
