director_id,director_experience,director_quality,director_total_votes
nm0749914,2,6.700000047683716,379
nm0369949,2,7.099999904632568,51164
nm1189743,1,2.700000047683716,220
nm2071123,1,4.699999809265137,2943
nm10376480,1,8.5,12
nm4646219,1,5.5,190
nm0195848,1,8.399999618530273,47
nm1414128,1,8.399999618530273,47
nm2378914,2,5.450000047683716,181403
nm6724631,1,6.400000095367432,889
nm5025409,1,5.400000095367432,274
nm1431194,3,5.9666666984558105,962
nm0001953,1,5.199999809265137,686
nm0352968,2,5.6000001430511475,1789
nm10564978,1,4.099999904632568,25110
nm2538949,1,8.699999809265137,32
nm0000154,1,5.199999809265137,24919
nm4269006,1,5.599999904632568,143
nm10568164,1,8.399999618530273,9
nm0141127,1,6.900000095367432,2650
nm13252949,6,2.8166667222976685,933
nm0868650,1,4.699999809265137,706
nm7972509,1,6.5,15
nm1970591,3,6.1333333651224775,1457
nm2744255,1,5.099999904632568,578
nm8289467,1,5.5,20
nm9129354,3,6.300000031789144,383
nm5111029,1,6.5,1389
nm7263882,6,3.5666666428248086,6571
nm1438231,1,5.800000190734863,5971
nm0308042,2,6.049999952316284,1307
nm2053688,1,4.599999904632568,136
nm2729685,1,4.900000095367432,147
nm1180915,4,5.550000071525574,5207
nm6870755,1,5.900000095367432,14
nm8023674,1,8.399999618530273,38
nm2561496,1,5.800000190734863,76
nm3279125,1,9.199999809265137,39
nm1090998,2,6.1499998569488525,1720
nm0727168,1,2.5999999046325684,279
nm5324085,4,4.925000071525574,131
nm6070994,1,8.100000381469727,15
nm1252362,3,5.6333333651224775,1970
nm0903232,1,5.800000190734863,100
nm1530434,1,7.900000095367432,1153
nm5876959,2,6.349999904632568,983
nm1729218,2,6.200000047683716,260
nm5144156,1,7.900000095367432,11
nm0533691,1,6.099999904632568,130611
nm1773587,1,3.5,967
nm4359637,1,8.699999809265137,6074
nm5518452,1,6.400000095367432,21
nm4277614,1,7.900000095367432,9
nm0863570,2,4.200000047683716,632
nm0537550,2,5.25,6643
nm1133168,1,5.300000190734863,6
nm4142775,1,7.300000190734863,211
nm6837843,1,8.5,605
nm4299582,1,4.199999809265137,722
nm2032664,2,5.5,1426
nm0813786,2,6.8500001430511475,6191
nm5091631,1,6.099999904632568,7491
nm2187721,1,5.800000190734863,201
nm1093067,3,6.199999968210856,2129
nm1764568,2,6.0,838
nm5239791,1,4.0,17
nm0631590,6,5.6333333651224775,5849
nm0818915,1,5.199999809265137,53
