tconst,director_id,director_score
tt0062336,nm0749914,6.699936769989014
tt0062336,nm0765384,6.699936769989014
tt0070596,nm0749914,6.699936769989014
tt0070596,nm0765384,6.699936769989014
tt0093119,nm0007013,2.7024794822660483
tt0097767,nm0560510,6.9997460189148315
tt0104988,nm0462899,7.499428179880202
tt0120589,nm0004000,7.199618692687363
tt0155174,nm0040898,7.499428179880202
tt0164115,nm0079782,6.200254370756621
tt0191010,nm0842379,5.20089004882588
tt0202523,nm1126758,8.898537849356007
tt0211266,nm0430867,8.298919828038413
tt0251151,nm0665374,8.398855688390636
tt0260293,nm0596261,6.7998733451423
tt0267968,nm0275789,7.399491842993937
tt0287075,nm0306126,6.400127521063196
tt0293429,nm2585406,6.100318033870356
tt0327785,nm0675102,5.950413528540958
tt0346172,nm0708001,2.8024158191523134
tt0361130,nm0067384,5.400763199132454
tt0368133,nm0698464,6.600000194835727
tt0438755,nm1840881,8.198983014618104
tt0438755,nm1205845,8.198983014618104
tt0439572,nm0615592,6.600000194835727
tt0446792,nm3584411,7.399491842993937
tt0451272,nm1235298,7.0996823558010975
tt0453528,nm1430400,8.398855688390636
tt0473100,nm0656065,3.801780141083055
tt0499097,nm1356588,6.200254609023643
tt0762118,nm0884452,4.101589390008873
tt0781524,nm4835724,5.500699536018719
tt0805647,nm0000709,5.600636031749667
tt0870154,nm1429471,6.100318033870356
tt0875612,nm0566041,7.299555506107671
tt0887261,nm1410159,5.9670695846886685
tt0899043,nm0369949,7.0996823558010975
tt0902292,nm2245642,6.9997460189148315
tt0920462,nm1802274,4.701207887860509
tt0979902,nm2581582,7.699300853652733
tt0983946,nm0905592,5.067641599644192
tt0993840,nm0811583,6.15028644058051
tt0995854,nm0000243,6.00038169698409
tt10003008,nm2002649,5.70057220979125
tt10003618,nm4234652,6.7998733451423
tt10003994,nm2474072,6.899809682028566
tt10004032,nm1454596,2.7024794822660483
tt10004032,nm1189743,2.7024794822660483
tt10004108,nm5084422,4.701207887860509
tt10004108,nm2071123,4.701207887860509
tt10004368,nm3987270,6.899809682028566
tt10005250,nm10376480,8.498792501810943
tt10005622,nm0448831,4.741182613228633
tt10006160,nm5292549,4.801144701280818
tt10009608,nm3270894,6.3001911841769305
tt10009608,nm3615875,6.3001911841769305
tt10010852,nm4019593,7.599364516766467
tt10011002,nm4646219,5.500699536018719
tt10011228,nm1749112,5.6506042796151394
tt10011240,nm2808962,8.898537849356007
tt10012930,nm4818970,8.198983014618104
tt10013512,nm1496020,5.7005724480582725
tt10013588,nm10544333,6.00038169698409
tt10014534,nm2863372,6.699936531721992
tt1001520,nm0004217,6.00038169698409
tt10015244,nm6136445,5.2008903347463065
tt10015802,nm2570760,8.413132580250984
tt10016152,nm0195848,8.398855688390636
tt10016152,nm1414128,8.398855688390636
tt10016180,nm0359387,6.15028644058051
tt10016640,nm9956126,7.399491842993937
tt10019108,nm0832393,5.80050902321156
tt10021582,nm2106459,2.6025429071127606
tt10022716,nm4390250,5.900445360097825
tt10022726,nm10050155,7.184628456594742
tt10022782,nm0051104,6.200254370756621
tt10022782,nm0004787,6.200254370756621
tt10022782,nm3260333,6.200254370756621
tt10022990,nm8490655,5.400763199132454
tt10022990,nm11262032,5.850477191654693
tt10023022,nm2099491,6.300190945909908
tt10023024,nm1665004,6.666624578271252
tt10023150,nm0468007,5.300826862246189
tt10023172,nm0033384,5.400763199132454
tt10023266,nm7053856,7.399491842993937
tt10023274,nm0431044,7.699300853652733
tt10023274,nm0431049,7.699300853652733
tt10023286,nm3046538,6.100318033870356
tt10026772,nm2901897,8.998474662776314
tt10026772,nm0411523,8.89853832589005
tt10027720,nm5206176,5.001017375053349
tt10028196,nm2378914,5.450731367575587
tt10028812,nm7388685,6.033693968124194
tt10030150,nm1778060,5.334138815696929
tt10030150,nm2061884,4.8677687670269805
tt10030150,nm5034304,5.001017375053349
tt10032266,nm4494278,6.699936531721992
tt10032342,nm0176496,6.500063857949461
tt10032574,nm6724631,6.400127521063196
tt10033964,nm3803666,3.452002723714104
tt10035194,nm5025409,5.400763199132454
tt10037014,nm2500541,5.01767343120106
tt10037498,nm6743460,6.7998733451423
tt10037934,nm10555504,5.300826862246189
tt10038660,nm10555253,7.09968259406812
tt10038830,nm10555425,7.899174003959308
tt10039338,nm10555656,5.600635872904985
tt10039354,nm0303973,5.350795030689323
tt10039364,nm2832759,5.780521565220688
tt10039364,nm0864592,5.70057220979125
tt10039524,nm1884759,5.300826862246189
tt10039642,nm8352149,7.0996823558010975
tt10039642,nm2290618,6.849841275318412
tt10039642,nm2514471,7.0996823558010975
tt10040978,nm0890060,4.931830606973005
tt10041978,nm10556416,7.699300853652733
tt10042482,nm3774618,5.300826862246189
tt10042482,nm4738310,5.300826862246189
tt10042590,nm2149627,5.900445360097825
tt10042622,nm0750527,4.5013352140879785
tt10042788,nm1923551,5.300826862246189
tt10042868,nm6816931,8.798601989003783
tt10043458,nm0703544,6.250222777466775
tt10043660,nm3815061,3.901716716236342
tt10043770,nm8820234,7.699300853652733
tt10044040,nm0791140,4.701207887860509
tt10044182,nm3184434,5.267514471972575
tt10044632,nm3925765,5.613128034149279
tt10044946,nm4341096,6.533375970244883
tt10045002,nm10531566,7.999110340845573
tt10047464,nm3185193,4.567959597523504
tt10047904,nm1195601,6.699936531721992
tt10047958,nm2203853,3.5019708921572366
tt10049262,nm1431194,5.9670695846886685
tt10051000,nm3742110,4.5013352140879785
tt10051088,nm1112548,6.899809682028566
tt10054316,nm1098377,4.151557796719027
tt10054604,nm6425087,4.388906730849108
tt10054778,nm2641508,6.96643390661941
tt10054876,nm10561853,7.1329946269412
tt10054946,nm3468427,8.548760908521098
tt10054946,nm2436790,8.548760908521098
tt10055058,nm8971951,6.200254370756621
tt10055546,nm1730629,5.300826862246189
tt10056224,nm0001953,5.20089004882588
tt10056488,nm2278676,7.799237667073042
tt10058864,nm8392831,4.101589390008873
tt10058890,nm0096539,5.600636031749667
tt10059252,nm4597102,7.199618692687363
