writer_id,writer_experience,writer_quality
nm5429637,2,6.349999904632568
nm1812461,1,5.5
nm0275629,1,6.599999904632568
nm0634307,1,6.699999809265137
nm2990632,1,8.199999809265137
nm0736676,2,5.550000190734863
nm3815061,1,3.9000000953674316
nm3184434,5,5.1999999523162845
nm6425087,8,4.637500017881393
nm2233827,1,5.300000190734863
nm10563063,1,7.800000190734863
nm2417655,1,8.0
nm0382614,2,5.699999809265137
nm3972535,1,6.400000095367432
nm6756963,1,7.5
nm4485694,1,8.5
nm1893652,2,5.849999904632568
nm7580249,1,7.800000190734863
nm1381758,3,6.99999984105428
nm2540226,1,5.300000190734863
nm1896882,2,5.0
nm0201504,1,7.599999904632568
nm8976437,1,8.399999618530273
nm11970536,1,6.5
nm1778801,1,5.900000095367432
nm0023517,1,6.400000095367432
nm13886519,1,8.0
nm10343741,1,5.699999809265137
nm1628224,2,8.850000381469727
nm10602235,1,7.0
nm5393462,2,6.25
nm1515005,2,5.5
nm4001689,1,6.800000190734863
nm1802374,5,5.1800000190734865
nm0618405,1,5.400000095367432
nm5841141,1,6.0
nm1738734,1,6.800000190734863
nm12444098,1,6.800000190734863
nm10616200,2,6.25
nm11243085,6,3.6166667540868125
nm4105672,1,6.300000190734863
nm0662530,2,6.3999998569488525
nm12231750,1,6.800000190734863
nm4074500,1,4.699999809265137
nm12653673,1,7.300000190734863
nm3969062,2,5.5
nm8389292,1,4.800000190734863
nm0801220,1,3.700000047683716
nm7517648,1,5.0
nm10640839,1,5.599999904632568
nm2059904,6,5.166666666666667
nm8222749,3,6.766666571299235
nm0324343,1,8.800000190734863
nm10125154,1,3.200000047683716
nm1409431,6,5.416666666666667
nm0820830,1,7.800000190734863
nm8185500,1,5.699999809265137
nm0358960,2,7.349999904632568
nm3090471,1,9.5
nm1615967,1,7.099999904632568
nm10679945,1,8.600000381469727
nm3631801,2,5.799999952316284
nm1534497,1,5.900000095367432
nm5408538,1,7.300000190734863
nm9054176,1,7.300000190734863
nm1460195,1,6.099999904632568
nm0722822,2,8.899999856948853
nm2768158,1,8.0
nm4478309,2,7.799999952316284
nm5644520,1,7.300000190734863
nm3469360,3,4.433333396911621
nm2521682,1,6.599999904632568
nm8704041,1,6.0
nm3678761,1,6.199999809265137
nm0169300,1,6.099999904632568
nm0894787,5,6.1800000190734865
nm4148153,15,6.873333358764649
nm4992343,2,5.700000047683716
nm0921043,1,5.599999904632568
nm7174796,4,3.425000011920929
nm2140444,1,5.599999904632568
nm0152790,1,7.5
nm0945026,3,6.699999968210856
nm1333044,1,7.0
nm0585738,2,7.849999904632568
nm10719939,1,4.400000095367432
nm2408218,1,7.5
nm9590484,1,6.800000190734863
nm6868415,1,8.100000381469727
nm2107329,6,6.583333253860474
nm4715159,3,6.8666666348775225
nm3370782,1,4.900000095367432
nm5379636,2,7.450000047683716
nm5833585,1,6.800000190734863
nm8099914,5,3.160000038146973
nm6502792,1,5.099999904632568
nm4470253,2,3.799999952316284
nm1272649,4,4.799999952316284
nm4621058,4,4.424999952316284
nm10760381,1,8.600000381469727
nm12385644,1,6.900000095367432
nm1614496,4,5.774999976158142
nm10770817,1,2.5999999046325684
nm11704712,1,6.199999809265137
nm3999386,1,6.099999904632568
nm9383233,1,5.199999809265137
nm0973061,1,7.099999904632568
nm0698489,12,4.616666674613953
nm9645823,1,6.199999809265137
nm0587271,1,7.400000095367432
nm7965202,1,5.400000095367432
nm5046012,7,6.271428516932896
nm1032521,1,5.900000095367432
nm7961008,1,6.400000095367432
nm10807308,2,4.8999998569488525
nm7866193,1,5.099999904632568
nm4339979,1,6.5
nm7992231,5,6.720000076293945
nm3411700,1,3.5999999046325684
nm0297742,6,6.816666603088379
nm10793545,1,3.799999952316284
nm9667956,1,8.199999809265137
nm10823530,1,6.099999904632568
nm3198149,1,4.300000190734863
nm3491007,1,6.199999809265137
nm9409952,1,4.5
nm10874609,1,6.199999809265137
nm4252203,1,6.300000190734863
nm6099959,2,6.050000190734863
nm2205241,2,6.450000047683716
nm9367249,1,6.0
nm2953472,1,5.599999904632568
nm3611304,1,4.0
nm2060444,3,5.133333206176758
nm8084594,1,4.699999809265137
nm10857692,2,6.0
nm0404142,1,6.800000190734863
nm1092088,1,4.599999904632568
nm0001709,3,4.299999952316284
nm1937443,2,4.8500001430511475
nm2057036,1,4.400000095367432
nm7059325,2,6.799999952316284
nm8218278,1,6.699999809265137
nm3078179,1,8.800000190734863
nm6969398,1,7.199999809265137
nm3536895,1,6.800000190734863
nm7435534,1,7.5
nm10893544,1,5.699999809265137
nm5613989,1,4.900000095367432
nm5134611,1,4.900000095367432
nm0744711,1,5.699999809265137
nm6507373,2,7.1499998569488525
nm1680845,1,8.699999809265137
nm8359476,7,5.757142884390695
nm3160391,6,6.550000031789144
nm9671996,1,4.900000095367432
nm10918965,2,8.550000190734863
nm8563375,1,4.099999904632568
nm14054241,5,6.3
nm9108064,1,6.0
nm0571344,2,7.0
nm4879477,1,3.5999999046325684
nm13964200,2,6.150000095367432
nm6859370,2,3.100000023841858
nm10956167,1,6.900000095367432
nm6427447,2,6.200000047683716
nm5100627,2,6.900000095367432
nm4035287,1,4.800000190734863
nm0405501,1,6.300000190734863
nm2622893,1,4.900000095367432
nm5450919,2,6.500000238418579
nm1434730,1,7.599999904632568
nm3783212,3,5.933333396911621
nm8121365,1,6.599999904632568
nm6301426,1,5.199999809265137
nm11040207,1,5.300000190734863
nm1155521,1,6.5
nm1845013,1,6.5
nm10976054,1,7.800000190734863
nm1394260,1,3.299999952316284
nm0015149,4,6.625
nm3337275,1,3.5999999046325684
nm2611815,1,5.0
nm4398547,1,5.0
nm10986085,1,5.900000095367432
nm8705238,2,5.300000190734863
nm9592503,1,7.0
nm1230591,1,4.800000190734863
nm5509805,3,6.199999968210856
nm6733309,1,6.300000190734863
nm2041367,1,5.5
nm4577814,1,6.300000190734863
nm2738907,3,6.333333492279053
nm0146030,1,6.400000095367432
nm8904404,1,4.699999809265137
nm3926856,4,8.200000047683716
nm8858219,4,6.025000095367432
nm0080333,4,6.599999904632568
nm8922358,5,6.7600000381469725
nm0232952,3,6.666666666666667
nm4285836,1,3.700000047683716
nm1856678,3,4.599999904632568
nm7234831,1,2.700000047683716
nm1567453,3,6.666666666666667
nm2696313,1,7.699999809265137
nm3888504,1,5.099999904632568
nm4359182,1,6.199999809265137
nm7446519,1,6.099999904632568
nm0138609,2,5.0
nm8686128,1,7.699999809265137
nm3685485,1,5.699999809265137
nm0745488,1,6.400000095367432
nm1194570,3,5.899999936421712
nm0787509,1,6.199999809265137
nm4650894,1,7.099999904632568
nm9386232,2,6.349999904632568
nm10983625,2,5.599999904632568
nm11057511,1,5.300000190734863
nm4172613,2,6.949999809265137
nm1134182,1,6.199999809265137
nm1980880,2,4.950000047683716
nm11066253,2,6.199999809265137
nm1598140,6,6.499999920527141
nm2770831,1,6.900000095367432
nm2838224,1,4.900000095367432
nm11651645,1,7.5
nm4672801,9,5.155555539660984
nm2150926,2,3.450000047683716
nm3008065,1,5.900000095367432
nm5254274,8,5.887499988079071
nm3664884,3,5.300000031789144
nm2398093,2,6.400000095367432
nm9391630,2,5.549999952316284
nm0076820,3,5.266666730244954
nm1497680,14,3.7214285816465105
nm2847848,1,6.699999809265137
nm7603070,3,8.366666793823242
nm1202013,1,6.400000095367432
nm1135424,2,5.150000095367432
nm1613185,1,6.0
nm1894782,2,6.099999904632568
nm3740964,2,9.25
nm11749484,1,5.300000190734863
nm4087145,2,4.6499998569488525
nm2138786,1,6.0
nm0103804,1,5.599999904632568
nm1164553,2,4.2500001192092896
nm11116195,1,4.400000095367432
nm3160595,1,5.099999904632568
nm2350892,3,3.9333333174387612
nm4433150,1,2.4000000953674316
nm3497518,1,7.699999809265137
nm4174266,2,7.099999904632568
nm0960950,1,5.300000190734863
nm0174228,2,6.150000095367432
nm10410169,2,6.449999809265137
nm0379864,3,6.300000031789144
nm0554532,2,6.199999809265137
nm5284051,2,6.349999904632568
nm0239051,1,7.199999809265137
nm3363804,1,6.800000190734863
nm11132020,1,8.5
nm1866275,1,6.599999904632568
nm3230448,2,6.700000047683716
nm2509232,1,6.900000095367432
nm11253762,1,5.699999809265137
nm11137170,1,6.099999904632568
nm7806028,1,6.300000190734863
nm1099918,1,6.800000190734863
nm1907554,5,7.179999923706054
nm3720906,5,6.2600000381469725
nm2483722,13,3.2384615402955275
nm11144286,2,8.949999809265137
nm6391953,2,6.299999952316284
nm8464632,2,5.75
nm4860956,2,6.650000095367432
nm0478172,2,5.799999952316284
nm11077684,1,3.9000000953674316
nm4335195,1,7.400000095367432
nm3806890,7,4.0857142720903665
nm9981565,2,7.749999761581421
nm11159383,3,4.333333253860474
nm0053678,2,7.799999952316284
nm5465931,1,7.900000095367432
nm11566830,1,4.199999809265137
nm11161123,1,7.5
nm11169904,1,7.5
nm4281289,1,6.0
nm4141828,1,3.5
nm4050406,2,3.0
nm10265438,1,8.199999809265137
nm11176552,1,6.800000190734863
nm4179342,8,6.350000023841858
nm4368555,2,6.599999904632568
nm13412575,1,6.800000190734863
nm1591054,1,5.699999809265137
nm3839791,1,7.300000190734863
nm4232388,1,7.5
nm9335192,1,7.5
nm2559532,1,6.599999904632568
nm12942740,1,6.699999809265137
nm9264824,1,6.300000190734863
nm9424145,2,7.0
nm1536915,1,4.800000190734863
nm14708244,2,6.400000095367432
nm4581024,1,8.300000190734863
nm11213799,1,5.800000190734863
nm11640343,2,5.150000095367432
nm9542027,2,6.900000095367432
nm9020675,1,6.400000095367432
nm9332277,1,6.400000095367432
nm5320150,3,6.699999968210856
nm7053285,4,8.274999976158142
nm11201867,1,7.400000095367432
nm6243847,4,5.224999904632568
nm2500035,2,6.1499998569488525
nm1360971,4,4.025000035762787
nm0596942,1,7.800000190734863
nm3114649,1,7.0
nm5373891,1,7.0
nm1215982,1,6.099999904632568
nm5382346,1,6.0
nm11207451,1,3.9000000953674316
nm1336257,3,6.766666730244954
nm7261320,1,6.699999809265137
nm0196134,1,6.0
nm7112514,1,6.199999809265137
nm1892316,6,6.616666714350383
nm7255526,2,5.1000001430511475
nm5688900,1,5.400000095367432
nm3311695,1,5.400000095367432
nm11215339,1,8.800000190734863
nm10350508,1,8.199999809265137
nm3764089,1,8.199999809265137
nm9135765,2,5.849999904632568
nm11216165,1,6.400000095367432
nm0538755,1,6.300000190734863
nm0797672,1,6.300000190734863
nm11224989,1,7.800000190734863
nm1545917,1,7.5
nm7691856,1,5.0
nm2016267,1,4.800000190734863
nm4512241,2,2.899999976158142
nm10371339,1,7.900000095367432
nm7721059,3,4.400000015894572
nm0161247,1,4.300000190734863
nm3942705,1,7.900000095367432
nm11313520,3,7.3666666348775225
nm9268416,5,8.460000038146973
nm0300858,3,6.033333460489909
nm9243809,6,2.4833333094914756
nm11334489,1,4.599999904632568
nm9441384,1,7.800000190734863
nm5831418,1,3.299999952316284
nm3932445,2,4.3999998569488525
nm9149505,2,6.199999809265137
nm1646038,2,6.5
nm8318100,2,6.6000001430511475
nm0755171,1,6.5
nm0075811,1,6.099999904632568
nm0118809,1,6.099999904632568
nm9333238,2,8.400000095367432
nm0350573,1,7.0
nm2739661,2,4.850000023841858
nm1782913,1,5.199999809265137
nm1626417,3,5.433333237965901
nm1497250,2,5.400000095367432
nm6776936,1,6.0
nm7371515,1,3.299999952316284
nm10789954,1,4.599999904632568
nm10177836,1,4.400000095367432
nm11289861,1,5.199999809265137
nm3658809,2,8.050000190734863
nm10366451,2,5.75
nm4571800,1,5.800000190734863
nm1900694,1,5.400000095367432
nm12082187,4,7.099999904632568
nm11297792,1,8.699999809265137
nm4773776,1,4.400000095367432
nm3265368,1,6.599999904632568
nm0032205,1,6.699999809265137
nm1503324,1,6.400000095367432
nm0137234,3,7.300000031789144
nm2684585,2,5.350000023841858
nm3519173,1,6.900000095367432
nm7515701,1,7.5
nm1065588,1,7.400000095367432
nm1101452,1,6.400000095367432
nm9045697,1,8.100000381469727
nm0866957,1,6.0
nm0846355,1,3.9000000953674316
nm6380046,1,8.199999809265137
nm0659454,3,6.0333333015441895
nm0158857,1,6.599999904632568
nm1202960,1,5.400000095367432
nm0711915,1,6.400000095367432
nm4451190,1,5.300000190734863
nm11467949,1,6.300000190734863
nm9411361,1,7.199999809265137
nm11317633,1,5.900000095367432
nm4452606,3,5.433333317438762
nm3158460,1,7.800000190734863
nm3148785,1,7.400000095367432
nm2255111,3,6.633333206176758
nm0803066,2,6.5
nm11321565,1,5.599999904632568
nm11321639,1,6.800000190734863
nm2501633,2,5.75
nm6298952,1,5.099999904632568
nm9085155,1,7.599999904632568
nm14717431,1,6.699999809265137
nm11333329,1,9.600000381469727
nm11330580,1,6.599999904632568
nm11330131,3,5.833333333333333
nm5643041,3,6.766666571299235
nm10152005,1,7.900000095367432
nm0842918,1,5.599999904632568
nm11333850,2,6.099999904632568
nm8745690,1,9.100000381469727
nm1143429,8,3.337500035762787
nm3981016,1,4.099999904632568
nm6045344,1,7.300000190734863
nm11344829,2,6.099999904632568
nm11345122,4,5.850000023841858
nm8260883,3,7.233333428700765
nm1360723,1,5.099999904632568
nm15020844,1,8.0
nm11345628,2,6.5
nm7860268,2,6.6000001430511475
nm9215920,1,6.300000190734863
nm10703577,1,3.200000047683716
nm11302350,1,4.300000190734863
nm0064741,2,6.099999904632568
nm2984415,1,8.100000381469727
nm11350080,1,5.800000190734863
nm3907556,1,2.799999952316284
nm0870741,1,7.099999904632568
nm11353517,1,3.700000047683716
nm8055757,1,8.5
nm5322992,11,5.9454545974731445
nm1085908,2,7.75
nm7587855,3,5.6333333651224775
nm4209430,3,6.266666730244954
nm10090627,2,5.049999952316284
nm1732981,1,7.699999809265137
nm7249260,1,8.199999809265137
nm5787591,2,5.25
nm4410758,1,7.400000095367432
nm1334468,1,8.199999809265137
nm9803779,1,3.299999952316284
nm2148796,1,7.300000190734863
nm9202318,2,5.6499998569488525
nm2226761,1,8.600000381469727
nm0836809,2,5.200000047683716
nm5225370,2,3.549999952316284
nm2259350,1,6.800000190734863
nm5905970,2,6.700000047683716
nm11422105,1,7.400000095367432
nm10328380,1,4.0
nm1982945,1,5.5
nm2095752,3,5.5333333015441895
nm8813915,1,6.099999904632568
nm11038135,3,7.5333333015441895
nm4189857,1,6.099999904632568
nm2807308,1,5.300000190734863
nm7136372,8,4.962500035762787
nm1245377,1,7.300000190734863
nm4586375,1,3.5999999046325684
nm9236376,1,7.199999809265137
nm4405407,1,7.199999809265137
nm0001317,1,3.5999999046325684
nm4927282,1,7.199999809265137
nm2240132,1,3.9000000953674316
nm0926603,2,6.0
nm2654571,1,6.400000095367432
nm10487600,1,7.699999809265137
nm11406198,2,4.849999904632568
nm4200653,1,7.300000190734863
nm10879582,2,7.650000095367432
nm11415634,1,8.600000381469727
nm6630098,1,7.5
nm3285470,1,5.599999904632568
nm5078136,1,7.099999904632568
nm3413965,1,7.400000095367432
nm0356968,2,5.6499998569488525
nm0531195,1,6.599999904632568
nm6583602,2,6.349999904632568
nm9306401,1,5.400000095367432
nm7686956,2,7.900000095367432
nm0049494,1,6.199999809265137
nm0378772,1,6.800000190734863
nm15216018,2,8.099999904632568
nm11433570,1,5.900000095367432
nm2290469,3,6.666666507720947
nm6678180,2,6.349999904632568
nm1062304,1,6.199999809265137
nm1818315,1,6.400000095367432
nm11437876,1,7.900000095367432
nm11105531,1,2.700000047683716
nm2434433,1,6.800000190734863
nm0098079,1,5.199999809265137
nm11453528,1,5.400000095367432
nm1170746,1,5.400000095367432
nm6032504,1,6.300000190734863
nm11461412,1,6.199999809265137
nm1218774,1,7.199999809265137
nm2428088,4,7.549999952316284
nm10897495,1,8.199999809265137
nm7683927,1,6.800000190734863
nm9055203,2,7.450000047683716
nm5664775,2,6.599999904632568
nm11468918,1,8.699999809265137
nm7853544,1,3.200000047683716
nm3163756,2,7.549999952316284
nm7818159,4,4.549999952316284
nm7949107,4,5.924999952316284
nm1888967,1,6.699999809265137
nm5042381,1,4.800000190734863
nm11499828,1,7.5
nm7198459,1,4.599999904632568
nm11502726,2,7.199999809265137
nm11503597,1,7.199999809265137
nm11506000,1,8.600000381469727
nm9539414,1,6.699999809265137
nm11510264,1,5.300000190734863
nm10962262,1,8.0
nm11513349,1,5.5
nm11515070,1,5.400000095367432
nm4294457,3,6.799999872843425
nm0565026,1,6.599999904632568
nm9583971,1,6.400000095367432
nm6915351,1,6.599999904632568
nm10484416,1,5.800000190734863
nm0499775,1,6.699999809265137
nm3269984,2,4.900000095367432
nm10270891,1,3.4000000953674316
nm6757054,1,6.5
nm11540662,1,4.5
nm2409430,2,5.599999904632568
nm5604338,2,8.0
nm5412893,3,3.7333333492279053
nm6867339,1,6.099999904632568
nm2253613,1,8.5
nm9211916,1,6.699999809265137
nm6680417,1,4.800000190734863
nm3659129,1,8.600000381469727
nm1955172,3,3.4666666984558105
nm5427467,1,3.9000000953674316
nm0827941,1,7.900000095367432
nm2804721,1,7.099999904632568
nm5115964,1,9.199999809265137
nm11306117,2,5.700000047683716
nm6202144,1,7.400000095367432
nm1760793,1,6.699999809265137
nm11588729,1,5.0
nm11588932,1,7.900000095367432
nm1763158,1,6.099999904632568
nm1729126,1,5.400000095367432
